host_time_s,seq,device_time_s,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,belt_length,belt_velocity,belt_acceleration,motor_pos,motor_vel,motor_iq_meas,motor_iq_set,acc_mag,gyro_mag,gyro_corrected,gyro_side_score,gyro_side_separation,step_period_s,gait_cycle_s,cadence_spm,gait_speed_ratio,assist_pulse_s,acc_residual,threshold,gyro_threshold,belt_threshold,belt_ok,calibrated,imu_side,imu_heel_strike,heel_strike,hs_count,left_hs_count,right_hs_count,torque_cmd_nm
0.1321688579998863,15,822.16,90.7,8.3,-65.1,-0.69,0.62,-0.46,0.18,0.94,-0.08,-126.2,-9.9,15.0,-1.09,0.21,0.05,0.0,0.9604165762834375,1.0354226190305096,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.01801193106543486,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.1430599049999728,16,822.17,90.6,8.3,-65.1,-0.57,0.64,-0.46,0.18,0.93,-0.07,-126.3,-7.9,1.0,-1.08,0.25,0.0,0.0,0.9498420921395304,0.9726767191621274,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.028014686905155073,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.15223428299987063,17,822.18,90.6,8.3,-65.2,-0.49,0.74,-0.51,0.18,0.93,-0.08,-126.3,-10.2,-14.0,-1.08,0.29,-0.06,0.0,0.9506313691436865,1.0236210236215355,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.026680901702978876,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.162912335999863,18,822.19,90.6,8.3,-65.3,-0.44,0.83,-0.6,0.19,0.92,-0.08,-126.5,-11.2,-11.0,-1.08,0.32,0.18,0.0,0.9428149341201592,1.1146748404803977,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.03380738999197619,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.17216092399985428,19,822.2,90.6,8.2,-65.4,-0.46,0.95,-0.71,0.2,0.91,-0.07,-126.6,-11.7,-3.0,-1.07,0.3,0.0,0.0,0.9343446901438462,1.2720849028268515,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.041432081288923284,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.18288583100002143,20,822.21,90.5,8.1,-65.5,-0.41,1.04,-0.81,0.2,0.91,-0.07,-126.7,-12.0,-15.0,-1.07,0.38,0.19,0.0,0.9343446901438462,1.380507153186828,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.040603439663144836,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.19210564199988767,21,822.22,90.5,8.1,-65.6,-0.29,1.14,-0.9,0.2,0.91,-0.07,-126.8,-15.3,-21.0,-1.07,0.42,0.1,0.0,0.9343446901438462,1.4811144452742333,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.03979137086988194,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.20277080599998953,22,822.23,90.4,8.0,-65.7,-0.14,1.22,-0.97,0.19,0.91,-0.07,-127.0,-16.7,-14.0,-1.06,0.46,0.01,0.0,0.9322553298319083,1.5648961626893971,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.04104311655818349,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.21219817199994395,23,822.24,90.4,7.9,-65.8,0.0,1.29,-1.04,0.18,0.91,-0.07,-127.2,-18.6,-25.0,-1.06,0.55,-0.06,0.0,0.9302687783646187,1.657015389186232,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.04216907466496356,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.22278857699984655,24,822.25,90.5,7.8,-66.0,0.06,1.34,-1.09,0.16,0.92,-0.07,-127.4,-20.5,-19.0,-1.05,0.59,0.15,0.0,0.9364293886887575,1.7283807450906181,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.03528829505400832,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.23215229199990972,25,822.26,90.5,7.7,-66.1,0.05,1.39,-1.13,0.16,0.93,-0.08,-127.6,-24.2,-42.0,-1.04,0.74,0.0,0.0,0.9470480452437459,1.792065847004512,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.024176245729039536,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.24252824799987138,26,822.27,90.5,7.6,-66.2,0.05,1.45,-1.16,0.15,0.94,-0.08,-127.9,-28.7,-36.0,-1.04,0.82,0.0,0.0,0.9552486587271399,1.8575790696495262,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.015656119600732432,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.25211010699990766,27,822.28,90.6,7.5,-66.4,0.07,1.54,-1.19,0.15,0.93,-0.1,-128.2,-32.4,-37.0,-1.03,0.92,0.01,0.0,0.9473119866232033,1.9474598840540978,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.023120935870575843,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.26269172100001015,28,822.29,90.6,7.4,-66.5,0.18,1.66,-1.23,0.16,0.92,-0.11,-128.5,-35.7,-38.0,-1.02,1.05,0.03,0.0,0.9402659198333203,2.0738611332488004,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.02956366260724963,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.2721722569999656,29,822.3,90.6,7.3,-66.7,0.37,1.82,-1.27,0.18,0.92,-0.12,-128.9,-40.3,-46.0,-1.01,1.2,-0.07,0.0,0.9450925880568528,2.2499333323456496,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.02424225449604278,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.2828965950000111,30,822.31,90.6,7.2,-66.9,0.57,2.01,-1.27,0.19,0.92,-0.14,-129.4,-47.7,-63.0,-0.99,1.36,-0.02,0.0,0.9497894503520241,2.4449744374941833,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.019154484356854073,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.2920608169999923,31,822.32,90.6,7.1,-67.1,0.79,2.23,-1.29,0.19,0.93,-0.15,-129.9,-50.7,-31.0,-0.98,1.39,-0.03,0.0,0.9609890738192605,2.6946428334753385,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.007795763671825329,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.3029590629998893,32,822.33,90.7,6.9,-67.4,1.02,2.46,-1.27,0.2,0.95,-0.16,-130.4,-53.4,-35.0,-0.96,1.53,-0.09,0.0,0.9839207285142436,2.9504067516191728,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.014833173202694616,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
