stride_id,timestamp,gait_cluster,cluster_confidence,ood,d_patient,d_healthy,d_target,healthy_region_threshold,manifold_deviation,delta_healthy,estimated_swing_time,estimated_stance_time,estimated_stride_time,estimated_swing_ratio,estimated_stance_ratio,estimated_swing_stance_ratio,phase_source,swing_symmetry_ratio,stance_symmetry_ratio,swing_stance_symmetry_ratio,belt_excursion,peak_belt_velocity,trunk_acc_rms,trunk_gyro_rms,swing_ratio_error,belt_excursion_error,temporal_symmetry_error,trunk_error,biomechanical_deviation,reference_source,decision_state,raw_assist_gain,assist_gain,target_belt_length,motor_position,motor_velocity,motor_current
15,804.66,S0,1.0,0,0.5783632469383188,1.7858845913620898,1.7858845913620898,1.3974207357074189,0.48300972726667507,-0.07129888415323427,1.2199999999999136,0.5400000000000773,1.759999999999991,0.6931818181817727,0.30681818181822734,2.259259259258776,belt_length_derived,,,,106.60000000000001,428.8,0.11108022601955717,1.341960323147384,0.0,0.09615058504324213,,0.0,0.06730540953026949,healthy_reference,COMBINED_DEVIATION,0.039925830812422736,0.0,-51.46167000223321,-2.83,5.68,0.59
16,806.14,S0,1.0,0,0.7618421635099497,1.9494096864964472,1.9494096864964472,1.3974207357074189,0.6863342076587889,-0.2348239792875917,1.009999999999991,0.4700000000000273,1.4800000000000182,0.6824324324324179,0.3175675675675821,2.1489361702126217,belt_length_derived,,,,95.1,410.2,0.1252674368257897,1.195973501559075,0.0,0.19365779209767672,,0.0,0.1355604544683737,healthy_reference,COMBINED_DEVIATION,0.09144009263031612,0.09144009263031612,-60.605679265264826,-2.82,5.09,-0.19
17,808.05,S0,1.0,0,0.577016202843943,1.6518131529338218,1.6518131529338218,1.3974207357074189,0.3163074511942889,0.0627725542750337,1.349999999999909,0.5600000000000591,1.9099999999999682,0.7068062827224773,0.29319371727752275,2.410714285713869,belt_length_derived,,,,119.69999999999999,475.9,0.09798816116431053,1.0816414749576413,0.0,0.0,,0.0,0.0,healthy_reference,MANIFOLD_DEVIATION_ONLY,0.0,0.09144009263031612,-60.605679265264826,-2.83,1.69,0.19
18,809.71,OOD,1.0,1,1.379214066689289,1.791460130900862,1.791460130900862,1.3974207357074189,0.48994226369905025,-0.07687442369200648,1.07000000000005,0.5900000000000318,1.6600000000000819,0.6445783132530104,0.3554216867469896,1.8135593220338853,belt_length_derived,,,,116.5,531.3,0.1525860524745704,1.3403381806156234,0.0,0.012209598100729047,,0.0,0.008546718670510333,healthy_reference,OOD,0.005093646945255641,0.09144009263031612,-60.605679265264826,-2.79,6.44,0.03
19,811.26,S0,1.0,0,0.9201719897375336,1.7809215737850557,1.7809215737850557,1.3974207357074189,0.47683879081683983,-0.06633586657620016,1.0599999999999454,0.4900000000000091,1.5499999999999545,0.6838709677419204,0.31612903225807965,2.1632653061222973,belt_length_derived,,,,115.80000000000001,529.8,0.10813524396526718,1.492480518164904,0.0,0.018144819399694527,,0.0,0.012701373579786169,healthy_reference,COMBINED_DEVIATION,0.007503152479713746,0.09144009263031612,-60.605679265264826,-2.74,5.77,-0.07
20,812.93,OOD,1.0,1,1.526885630884254,2.186820309292428,2.186820309292428,1.3974207357074189,0.9815267680416442,-0.4722346020835726,0.9599999999999227,0.7100000000000364,1.669999999999959,0.5748502994011654,0.4251497005988346,1.35211267605616,belt_length_derived,,,,154.9,675.5,0.11498578650312347,1.2305437829361945,0.0,0.0,,0.0,0.0,healthy_reference,OOD,0.0,0.09144009263031612,-60.605679265264826,-2.26,2.89,0.08
21,814.8,OOD,1.0,1,1.345356119941361,1.9046944451431278,1.9046944451431278,1.3974207357074189,0.6307359937803527,-0.1901087379342723,1.1999999999999318,0.6700000000000728,1.8700000000000045,0.641711229946486,0.35828877005351395,1.7910447761191066,belt_length_derived,,,,141.20000000000002,642.1,0.11859331166170795,1.031482255151768,0.0,0.0,,0.0,0.0,healthy_reference,OOD,0.0,0.09144009263031612,-60.605679265264826,-2.09,4.02,0.11
22,816.61,S0,1.0,0,1.1126581106060327,1.9655358806219783,1.9655358806219783,1.3974207357074189,0.7063852587747167,-0.25095017341312276,1.2000000000000455,0.6100000000000136,1.8100000000000591,0.6629834254143682,0.3370165745856319,1.967213114754129,belt_length_derived,,,,138.8,608.4,0.10067666708123582,0.8830939301103848,0.0,0.0,,0.0,0.0,healthy_reference,MANIFOLD_DEVIATION_ONLY,0.0,0.0,-51.46167000223321,-2.03,6.35,-0.07
23,818.35,S0,1.0,0,0.8370752986397226,1.7480701872095512,1.7480701872095512,1.3974207357074189,0.4359919036761424,-0.033484480000695704,1.2100000000000364,0.5299999999999727,1.740000000000009,0.695402298850592,0.30459770114940804,2.2830188679247145,belt_length_derived,,,,121.30000000000001,528.3,0.11640270695968319,0.9554601722769575,0.0,0.0,,0.0,0.0,healthy_reference,MANIFOLD_DEVIATION_ONLY,0.0,0.0,-51.46167000223321,-2.04,5.85,-0.04
24,820.11,OOD,1.0,1,1.5035126750214554,2.049070576565921,2.049070576565921,1.3974207357074189,0.8102509598376655,-0.3344848693570657,1.1900000000000546,0.5699999999999363,1.759999999999991,0.6761363636363982,0.3238636363636019,2.087719298245943,belt_length_derived,,,,150.2,665.6,0.13900629939551107,1.0113719289870935,0.0,0.0,,0.0,0.0,healthy_reference,OOD,0.0,0.0,-51.46167000223321,-2.02,9.67,0.21
