t_s,timestamp,state,phase,phase_progress,belt_length,belt_velocity,target_belt_length,profile,assist_gain,force_n,assist_force_n,impedance_force_n,current_a,saturated,faults
0.0078,37.0900,INIT,STANCE,,-79.200,0.100,-79.200,0.0000,0.0000,-0.0002,0.0000,-0.0002,0.0000,0,
0.0198,37.1000,INIT,STANCE,,-79.200,0.100,-79.200,0.0000,0.0000,-0.0002,0.0000,-0.0002,0.0000,0,
0.0318,37.1100,INIT,STANCE,,-79.200,-0.200,-79.200,0.0000,0.0000,0.0003,0.0000,0.0003,0.0463,0,
0.0439,37.1200,INIT,STANCE,,-79.200,0.500,-79.200,0.0000,0.0000,-0.0008,0.0000,-0.0008,0.0000,0,
0.0559,37.1300,INIT,STANCE,,-79.200,-0.800,-79.200,0.0000,0.0000,0.0012,0.0000,0.0012,0.0474,0,
0.0639,37.1500,INIT,STANCE,,-79.200,-2.100,-79.200,0.0000,0.0000,0.0032,0.0000,0.0032,0.0496,0,
0.0759,37.1600,INIT,STANCE,,-79.200,-1.200,-79.200,0.0000,0.0000,0.0018,0.0000,0.0018,0.0480,0,
0.0879,37.1700,INIT,STANCE,,-79.200,3.700,-79.200,0.0000,0.0000,-0.0056,0.0000,-0.0056,0.0000,0,
0.0959,37.1800,INIT,STANCE,,-79.200,-1.900,-79.200,0.0000,0.0000,0.0029,0.0000,0.0029,0.0493,0,
0.1078,37.1900,INIT,STANCE,,-79.200,-0.200,-79.200,0.0000,0.0000,0.0003,0.0000,0.0003,0.0463,0,
0.1158,37.2000,INIT,STANCE,,-79.200,0.000,-79.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.1279,37.2100,INIT,STANCE,,-79.200,1.400,-79.200,0.0000,0.0000,-0.0021,0.0000,-0.0021,0.0000,0,
0.1358,37.2200,INIT,STANCE,,-79.200,-1.000,-79.200,0.0000,0.0000,0.0015,0.0000,0.0015,0.0477,0,
0.1479,37.2300,INIT,STANCE,,-79.200,-0.900,-79.200,0.0000,0.0000,0.0014,0.0000,0.0014,0.0475,0,
