initial_threshold,runtime_threshold,gait_cycle,events,event_coverage,short_gaps,long_gaps,alternation,assists,assist_targets,assist_coverage,duplicate_assists,peak_rise_ms,confirm_delay_ms,speed_mps,percentile
0.0762438192920373,0.07634302711510252,1.9343364260000726,55,101.52456142212947,2,1,98.14814814814815,27,27,100.0,0,28.775424000059502,19.705979000036677,0.4,82
0.1395120510243421,0.1406340296718334,1.6036933580001005,65,98.24577183466302,0,0,100.0,32,32,100.0,0,40.09642200003327,19.79948799998965,0.6,82
0.18962359538855572,0.19674671140354863,1.3360390719999486,78,99.499219458451,0,0,100.0,39,39,100.0,0,36.13261899999998,11.950429999956214,0.8,82
0.21911194843155654,0.2231387183838805,1.2401046210000004,85,101.13855832601169,0,0,97.61904761904762,42,42,100.0,0,50.52213599992683,11.868779999986145,1.0,82
0.07731274036708806,0.07807989769427824,1.9343364260000726,55,101.52456142212947,2,1,98.14814814814815,27,27,100.0,0,28.679150000016307,19.705979000036677,0.4,83
0.14164003501389819,0.14504915000910398,1.6036933580001005,65,98.24577183466302,0,0,100.0,32,32,100.0,0,40.06785999990825,19.79948799998965,0.6,83
0.19362865633781498,0.20269247130528417,1.3360390719999486,78,99.499219458451,0,0,100.0,39,39,100.0,0,34.30853750001006,11.857243000008566,0.8,83
0.22515511998092674,0.22912604516615262,1.2401186619999862,85,101.13855832601169,0,0,97.61904761904762,42,42,100.0,0,49.78376600001866,11.868779999986145,1.0,83
0.07920478148120787,0.08036614820216992,1.9343364260000726,54,99.67866030536348,0,1,100.0,27,27,100.0,0,28.727287000037904,19.701171000065187,0.4,84
0.144127343660175,0.14982594196772164,1.6036933580001005,65,98.24577183466302,0,0,100.0,32,32,100.0,0,40.0282220000463,19.79948799998965,0.6,84
0.20069702691285443,0.20873754554111953,1.3360390719999486,78,99.499219458451,0,0,100.0,39,39,100.0,0,34.76323750010124,11.857243000008566,0.8,84
0.22929605258719177,0.23544684648500103,1.2317099580000104,84,99.94869293394098,0,0,95.18072289156626,40,42,95.23809523809524,0,48.48545400000148,11.739717999944332,1.0,84
