host_time_s,seq,device_time_s,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,motor_pos,motor_vel,motor_iq_meas,motor_iq_set,acc_mag,gyro_mag,acc_residual,threshold,heel_strike,hs_count,torque_cmd_nm
2.0650364960001752,1,623.27,-101.7,0.4,-61.8,-0.01,-0.23,0.08,0.01,-0.97,-0.2,-2.12,-0.01,0.11,0.0,0.9904544411531506,0.24372115213907883,0.0,0.28,0,0,0.0
2.0736629480002193,2,623.28,-101.7,0.4,-61.8,0.0,-0.17,0.07,0.01,-0.98,-0.21,-2.12,0.0,0.03,0.0,1.002297361066066,0.18384776310850237,0.01160606151465704,0.28,0,0,0.0
2.081476194000061,3,623.29,-101.7,0.4,-61.9,0.03,-0.15,0.06,0.01,-0.98,-0.2,-2.12,0.0,0.03,0.0,1.0002499687578101,0.16431676725154984,0.009367495822273253,0.28,0,0,0.0
2.089578501000233,4,623.3,-101.7,0.3,-61.9,0.04,-0.13,0.06,0.0,-0.99,-0.2,-2.12,-0.01,0.03,0.0,1.01,0.14866068747318506,0.018735176523173913,0.28,0,0,0.0
2.1009503270001915,5,623.31,-101.7,0.3,-61.9,0.08,-0.14,0.03,0.01,-0.99,-0.2,-2.12,0.0,-0.04,0.0,1.0100495037373167,0.16401219466856726,0.01840898665528079,0.28,0,0,0.0
2.1095889470002476,6,623.32,-101.7,0.3,-61.9,0.11,-0.14,0.03,0.0,-0.99,-0.2,-2.12,0.0,0.11,0.0,1.01,0.18055470085267789,0.01799229325960483,0.28,0,0,0.0
2.1210046060000423,7,623.33,-101.7,0.3,-61.9,0.17,-0.13,0.03,0.0,-0.99,-0.2,-2.12,0.0,-0.2,0.0,1.01,0.2161018278497431,0.01763244739441272,0.28,0,0,0.0
2.1295214179999675,8,623.34,-101.7,0.3,-61.9,0.18,-0.14,0.06,0.0,-0.97,-0.2,-2.12,-0.01,0.03,0.0,0.9904039579888602,0.23579652245103191,0.0019243227243925798,0.28,0,0,0.0
2.1407810519999657,9,623.35,-101.7,0.3,-61.9,0.14,-0.13,0.08,0.0,-0.98,-0.2,-2.12,-0.01,0.03,0.0,1.000199980003999,0.20712315177207982,0.007714265304931245,0.28,0,0,0.0
2.149491885000316,10,623.36,-101.7,0.3,-61.9,0.13,-0.12,0.08,0.0,-0.97,-0.2,-2.12,0.02,0.03,0.0,0.9904039579888602,0.194164878389476,0.0020401215760033065,0.28,0,0,0.0
2.160769893000179,11,623.37,-101.6,0.3,-62.0,0.13,-0.13,0.09,0.0,-0.97,-0.2,-2.12,-0.03,0.03,0.0,0.9904039579888602,0.20469489490458723,0.001999319144483258,0.28,0,0,0.0
2.1694257310000467,12,623.38,-101.6,0.3,-62.0,0.11,-0.1,0.1,0.0,-0.97,-0.2,-2.12,0.0,0.1,0.0,0.9904039579888602,0.17916472867168917,0.0019593327615935463,0.28,0,0,0.0
2.1807917300002373,13,623.39,-101.6,0.3,-62.0,0.12,-0.06,0.09,0.0,-0.97,-0.2,-2.12,0.0,0.03,0.0,0.9904039579888602,0.16155494421403513,0.0019201461063617087,0.28,0,0,0.0
2.189388768000299,14,623.4,-101.6,0.3,-62.0,0.1,-0.02,0.09,0.0,-0.97,-0.2,-2.12,-0.01,0.03,0.0,0.9904039579888602,0.13601470508735444,0.0018817431842345078,0.28,0,0,0.0
2.200774563000323,15,623.41,-101.6,0.3,-62.0,0.09,0.01,0.09,0.0,-0.97,-0.2,-2.12,0.0,-0.04,0.0,0.9904039579888602,0.12767145334803703,0.0018441083205498199,0.28,0,0,0.0
2.2094528830002673,16,623.42,-101.6,0.3,-62.0,0.07,0.02,0.09,0.0,-0.97,-0.19,-2.12,-0.01,0.02,0.0,0.9884331034521254,0.11575836902790225,0.0037386636001388585,0.28,0,0,0.0
2.220786452000084,17,623.43,-101.6,0.2,-62.0,0.05,0.02,0.09,0.0,-0.97,-0.19,-2.12,0.0,0.03,0.0,0.9884331034521254,0.10488088481701516,0.003663890328136077,0.28,0,0,0.0
2.2295041060001495,18,623.44,-101.6,0.2,-62.0,0.04,0.02,0.09,0.0,-0.97,-0.19,-2.12,0.0,0.02,0.0,0.9884331034521254,0.1004987562112089,0.003590612521573333,0.28,0,0,0.0
2.2409009930001957,19,623.45,-101.6,0.2,-62.0,0.04,0.0,0.09,0.0,-0.98,-0.19,-2.12,0.0,-0.2,0.0,0.9982484660644363,0.09848857801796104,0.006100255088922757,0.28,0,0,0.0
2.2495121840001957,20,623.46,-101.6,0.2,-62.0,0.09,0.0,0.08,0.0,-0.99,-0.19,-2.12,0.01,0.1,0.0,1.0080674580602234,0.12041594578792295,0.015600862143015592,0.28,0,0,0.0
2.2607510730003924,21,623.47,-101.5,0.2,-62.0,0.12,-0.01,0.07,0.0,-0.97,-0.19,-2.12,-0.02,-0.21,0.0,0.9884331034521254,0.1392838827718412,0.003952822615780671,0.28,0,0,0.0
2.2694844040001954,22,623.48,-101.5,0.2,-62.0,0.08,0.0,0.11,0.0,-0.97,-0.19,-2.12,0.0,-0.04,0.0,0.9884331034521254,0.13601470508735444,0.00387376616346502,0.28,0,0,0.0
2.2814203840002847,23,623.49,-101.5,0.2,-62.0,0.11,-0.01,0.11,0.0,-0.97,-0.19,-2.12,0.0,0.1,0.0,0.9884331034521254,0.15588457268119896,0.0037962908401957263,0.28,0,0,0.0
