file,crop_start_s,crop_end_s,peak_count,mean_peak_interval_s,std_peak_interval_s,threshold
1.csv,4.855812914000126,7.425907204000396,5,0.5675419677500031,0.1076841066316511,0.28898759285516706
2.csv,0.4959368390000236,3.789619216000119,6,0.5287764581999909,0.1480825651289899,0.26364196503328685
3.csv,1.6418386380000811,6.611663207999754,10,0.5366036863333142,0.0933060690060491,0.2727048463722721
4.csv,2.0973378159997083,7.087463077999928,9,0.531243793875035,0.11614894956862847,0.2477426977328011
