initial_threshold,runtime_threshold,gait_cycle,events,event_coverage,short_gaps,long_gaps,alternation,assists,assist_targets,assist_coverage,duplicate_assists,peak_rise_ms,confirm_delay_ms,speed_mps,percentile
0.0762438192920373,0.07634302711510252,1.9422904909999943,56,103.37046253889545,2,2,92.72727272727272,24,27,88.88888888888889,0,0.0,0.0,0.4,82
0.1395120510243421,0.1406340296718334,1.6090998029999355,66,99.75724524750399,4,0,98.46153846153847,32,32,100.0,0,0.0,0.0,0.6,82
0.18962359538855572,0.19674671140354863,1.3300229180000542,77,98.2235884397529,0,0,100.0,38,39,97.43589743589743,0,0.0,0.0,0.8,82
0.21911194843155654,0.2231387183838805,1.2399252294999883,85,101.13855832601169,0,0,97.61904761904762,42,42,100.0,0,0.0,0.0,1.0,82
0.07731274036708806,0.07807989769427824,1.951290274999792,55,101.52456142212947,2,1,94.44444444444444,27,27,100.0,0,0.0,0.0,0.4,83
0.14164003501389819,0.14504915000910398,1.6090998029999355,65,98.24577183466302,2,0,100.0,32,32,100.0,0,0.0,0.0,0.6,83
0.19362865633781498,0.20269247130528417,1.3358126054999957,78,99.499219458451,0,0,100.0,39,39,100.0,0,0.0,0.0,0.8,83
0.22515511998092674,0.22912604516615262,1.2398817780001536,85,101.13855832601169,0,0,97.61904761904762,42,42,100.0,0,0.0,0.0,1.0,83
0.07920478148120787,0.08036614820216992,1.9310568009998406,55,101.52456142212947,3,2,94.44444444444444,27,27,100.0,0,0.0,0.0,0.4,84
0.144127343660175,0.14982594196772164,1.6111184080000385,66,99.75724524750399,4,0,98.46153846153847,32,32,100.0,0,0.0,0.0,0.6,84
0.20069702691285443,0.20873754554111953,1.3358126054999957,78,99.499219458451,0,0,100.0,39,39,100.0,0,0.0,0.0,0.8,84
0.22929605258719177,0.23544684648500103,1.2357630169999538,85,101.13855832601169,0,0,95.23809523809523,41,42,97.61904761904762,0,0.0,0.0,1.0,84
0.08192538952319296,0.08294492582163145,1.9310568009998406,55,101.52456142212947,3,1,94.44444444444444,27,27,100.0,0,0.0,0.0,0.4,85
0.15261182632042053,0.15608297816804054,1.6082535479999933,65,98.24577183466302,1,0,100.0,32,32,100.0,0,0.0,0.0,0.6,85
0.205720364073575,0.21495424165974497,1.335813435499972,78,99.499219458451,0,0,100.0,39,39,100.0,0,0.0,0.0,0.8,85
0.253970135664937,0.2454851083751784,1.2318775789999563,85,101.13855832601169,0,0,95.23809523809523,41,42,97.61904761904762,0,0.0,0.0,1.0,85
0.08612493342834382,0.08639265427717255,1.9299449165000624,54,99.67866030536348,1,1,96.22641509433963,27,27,100.0,0,0.0,0.0,0.4,86
0.15975822989163677,0.1639004879107115,1.6051089714999307,65,98.24577183466302,1,0,100.0,32,32,100.0,0,0.0,0.0,0.6,86
0.2113669971450933,0.2216994692952234,1.335813435499972,78,99.499219458451,0,0,100.0,39,39,100.0,0,0.0,0.0,0.8,86
0.26298785361814714,0.2545430611489065,1.2305975309998303,85,101.13855832601169,0,0,95.23809523809523,41,42,97.61904761904762,0,0.0,0.0,1.0,86
0.0897303118599653,0.08968985409155773,1.9299449165000624,54,99.67866030536348,1,1,100.0,27,27,100.0,0,0.0,0.0,0.4,87
0.16890287422307815,0.172984729568381,1.6111184080000385,65,98.24577183466302,1,0,100.0,32,32,100.0,0,0.0,0.0,0.6,87
0.21794720457053796,0.23041992393417643,1.3400535294999827,78,99.499219458451,0,0,100.0,39,39,100.0,0,0.0,0.0,0.8,87
0.2821964220815385,0.26760517516189797,1.23062231300014,85,101.13855832601169,0,0,95.23809523809523,41,42,97.61904761904762,0,0.0,0.0,1.0,87
0.09385084873091455,0.09299539332191174,1.9300023095000824,54,99.67866030536348,0,0,100.0,27,27,100.0,0,0.0,0.0,0.4,88
0.1836948643742169,0.18302744860326214,1.6093148039999505,65,98.24577183466302,0,0,100.0,32,32,100.0,0,0.0,0.0,0.6,88
0.2232666793682325,0.24048441584725203,1.3400123724999844,78,99.499219458451,0,0,100.0,39,39,100.0,0,0.0,0.0,0.8,88
0.30128637874080155,0.2837699275528273,1.2318775789999563,85,101.13855832601169,0,0,97.61904761904762,42,42,100.0,0,0.0,0.0,1.0,88
0.09653560914524249,0.09608089207661763,1.9300781735000214,54,99.67866030536348,0,0,100.0,27,27,100.0,0,0.0,0.0,0.4,89
0.1871176478366074,0.19415769983944198,1.609027800999911,65,98.24577183466302,0,0,100.0,32,32,100.0,0,0.0,0.0,0.6,89
0.23472834530737446,0.25168650107217494,1.3400123724999844,78,99.499219458451,0,0,100.0,39,39,100.0,0,0.0,0.0,0.8,89
0.30808574842916436,0.2958510836757189,1.231911615999934,85,101.13855832601169,0,0,95.23809523809523,41,42,97.61904761904762,0,0.0,0.0,1.0,89
0.10166324577981369,0.1002946045591974,1.9300023095000824,54,99.67866030536348,0,0,100.0,27,27,100.0,0,0.0,0.0,0.4,90
0.19362919158042155,0.2045461129065494,1.6049704925000015,65,98.24577183466302,0,0,100.0,32,32,100.0,0,0.0,0.0,0.6,90
0.24468725616604797,0.2651442819773195,1.331895859999804,78,99.499219458451,0,0,100.0,39,39,100.0,0,0.0,0.0,0.8,90
0.32786317299445134,0.3159084991863418,1.231911615999934,85,101.13855832601169,0,0,95.23809523809523,41,42,97.61904761904762,0,0.0,0.0,1.0,90
