host_time_s,seq,device_time_s,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,belt_length,belt_velocity,belt_acceleration,motor_pos,motor_vel,motor_iq_meas,motor_iq_set,acc_mag,gyro_mag,gyro_corrected,gyro_side_score,gyro_side_separation,step_period_s,gait_cycle_s,cadence_spm,gait_speed_ratio,assist_pulse_s,acc_residual,threshold,gyro_threshold,belt_threshold,belt_ok,calibrated,imu_side,imu_heel_strike,heel_strike,hs_count,left_hs_count,right_hs_count,torque_cmd_nm
0.14434669199999917,16,969.5,93.7,9.1,-91.7,-0.62,1.16,-1.2,-0.02,0.97,-0.02,-143.5,437.3,254.0,-0.67,-12.15,-0.04,0.0,0.9704122835166504,1.7804493814764855,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.020765932259182884,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.15209562299992285,17,969.51,93.6,9.0,-91.8,-0.74,1.02,-1.16,-0.03,0.97,-0.02,-139.0,454.2,192.0,-0.79,-12.58,-0.14,0.0,0.9706698717895801,1.7127755252805315,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.02009817710652817,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.16398625100009667,18,969.52,93.5,8.9,-91.9,-0.79,0.86,-1.09,-0.03,0.97,-0.04,-134.3,472.1,166.0,-0.92,-12.96,0.13,0.0,0.9712878049270464,1.5974354447050434,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.019090639089680783,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.17213994100006857,19,969.53,93.4,8.8,-92.0,-0.91,0.71,-0.97,-0.04,0.98,-0.05,-129.5,478.1,96.0,-1.05,-13.12,-0.04,0.0,0.982089608946149,1.5076803374721048,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.00812305836916638,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.1802330420000544,20,969.54,93.3,8.7,-92.1,-1.04,0.58,-0.83,-0.03,0.98,-0.05,-124.7,493.3,126.0,-1.19,-13.51,0.14,0.0,0.9817331613019904,1.4515164484083534,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.008309915893058517,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.19235657700005504,21,969.55,93.2,8.6,-92.1,-1.19,0.46,-0.67,-0.03,0.98,-0.06,-119.7,495.5,32.0,-1.32,-13.44,-0.05,0.0,0.9822932352408826,1.4410412901787373,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.007594845115083015,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.2004312750000281,22,969.56,93.0,8.6,-92.2,-1.31,0.31,-0.5,-0.02,0.97,-0.06,-114.8,493.8,-11.0,-1.46,-13.35,0.18,0.0,0.97205966895042,1.4360362112425997,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.017471843177434665,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.21254826600011256,23,969.57,92.9,8.5,-92.2,-1.36,0.19,-0.33,-0.03,0.98,-0.06,-110.4,484.8,-87.0,-1.59,-12.92,0.21,0.0,0.9822932352408826,1.4123030836190935,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.00709351134923264,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.22055596099994546,24,969.58,92.7,8.5,-92.2,-1.56,0.02,-0.09,-0.05,1.0,-0.06,-105.2,454.2,-307.0,-1.71,-11.74,0.27,0.0,1.0030453628824572,1.5627219842313604,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.013385443966495103,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
0.23222230600003968,25,969.59,92.6,8.5,-92.2,-1.81,-0.15,0.12,-0.04,0.99,-0.06,-101.0,408.0,-374.0,-1.82,-10.65,0.17,0.0,0.992622788374315,1.820164827701052,0.0,0.0,2.0,0.6,1.2,100.0,1.0,0.18,0.002903612069185879,0.2,1.0,-160.0,0,0,calibrating,0,0,0,0,0,0.0
