host_time_s,seq,device_time_s,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,belt_length,belt_velocity,belt_acceleration,motor_pos,motor_vel,motor_iq_meas,motor_iq_set,acc_mag,gyro_mag,gyro_corrected,gyro_side_score,gyro_side_separation,dynamic_refractory_s,step_period_s,gait_cycle_s,cadence_spm,gait_speed_ratio,assist_pulse_s,acc_residual,threshold,gyro_threshold,belt_threshold,belt_ok,belt_ready,calibrated,imu_side,imu_heel_strike,heel_strike,hs_count,left_hs_count,right_hs_count,torque_cmd_nm
0.13231618300051196,14,13.77,95.5,8.2,26.7,-0.03,-0.13,0.08,0.14,0.97,-0.09,-129.2,-0.3,0.0,-1.0,0.0,-0.12,0.0,0.9841747812253675,0.15556349186104046,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.009639390620882593,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.14356817900079477,15,13.78,95.5,8.2,26.7,0.0,-0.14,0.07,0.14,0.97,-0.09,-129.2,0.2,1.0,-1.0,0.0,0.03,0.0,0.9841747812253675,0.15652475842498528,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.009446602808464988,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.15243034800005262,16,13.79,95.5,8.2,26.7,0.0,-0.16,0.07,0.14,0.97,-0.09,-129.2,0.0,0.0,-1.0,0.0,0.35,0.0,0.9841747812253675,0.1746424919657298,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.009257670752295666,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.1632856289998017,17,13.8,95.5,8.2,26.7,0.01,-0.16,0.07,0.14,0.97,-0.09,-129.2,0.1,-2.0,-1.0,0.0,-0.12,0.0,0.9841747812253675,0.17492855684535902,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.009072517337249786,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.17231757900117373,18,13.81,95.5,8.2,26.8,0.04,-0.19,0.07,0.14,0.97,-0.09,-129.2,-0.2,-2.0,-1.0,0.0,-0.12,0.0,0.9841747812253675,0.20639767440550294,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.008891066990504792,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.1834773190003034,19,13.82,95.5,8.2,26.8,0.08,-0.19,0.06,0.14,0.97,-0.09,-129.2,0.2,2.0,-1.0,0.0,-0.04,0.0,0.9841747812253675,0.21470910553583888,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.008713245650694645,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.19228450300033728,20,13.83,95.5,8.2,26.8,0.09,-0.21,0.06,0.14,0.97,-0.09,-129.2,0.1,2.0,-1.0,0.0,0.27,0.0,0.9841747812253675,0.23622023622035432,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.00853898073768078,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.20338312800049607,21,13.84,95.5,8.2,26.8,0.11,-0.21,0.06,0.14,0.97,-0.1,-129.2,-0.1,-1.0,-1.0,0.0,-0.04,0.0,0.9851395840184273,0.24454038521274965,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.007422694385728623,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.21229961800054298,22,13.85,95.5,8.2,26.8,0.13,-0.2,0.05,0.14,0.98,-0.1,-129.2,0.0,0.0,-1.0,0.0,0.03,0.0,0.9949874371066199,0.24372115213907883,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.002376655528414706,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.22339951100002509,23,13.86,95.6,8.2,26.9,0.13,-0.18,0.05,0.14,0.98,-0.1,-129.2,0.0,4.0,-1.0,-0.01,-0.04,0.0,0.9949874371066199,0.22759613353482083,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.002329122417846441,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.23226243400131352,24,13.87,95.6,8.2,26.9,0.14,-0.17,0.05,0.14,0.98,-0.1,-129.2,-0.2,-3.0,-1.0,0.0,0.11,0.0,0.9949874371066199,0.22583179581272433,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.002282539969489461,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.24326051000025473,25,13.88,95.6,8.2,26.9,0.14,-0.15,0.05,0.14,0.98,-0.1,-129.2,0.2,-1.0,-1.0,0.0,-0.12,0.0,0.9949874371066199,0.21118712081942875,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0022368891700996762,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.2523915889996715,26,13.89,95.6,8.2,26.9,0.13,-0.13,0.04,0.14,0.98,-0.09,-129.2,0.0,2.0,-1.0,0.0,-0.03,0.0,0.9940321926376429,0.1881488772222678,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0012560118071002213,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.26335335000112536,27,13.9,95.6,8.2,26.9,0.12,-0.13,0.04,0.14,0.98,-0.1,-129.2,-0.2,-3.0,-1.0,0.01,0.2,0.0,0.9949874371066199,0.18138357147217055,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0021670311505557205,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.2722890170007304,28,13.91,95.7,8.2,26.9,0.14,-0.13,0.03,0.14,0.97,-0.09,-129.2,0.1,2.0,-1.0,0.0,0.12,0.0,0.9841747812253675,0.19339079605813717,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.008472712236082702,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.2835262980006519,29,13.92,95.7,8.2,27.0,0.12,-0.11,0.03,0.14,0.97,-0.09,-129.2,0.0,0.0,-1.0,0.0,-0.11,0.0,0.9841747812253675,0.16552945357246848,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.008303257991361002,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.2921415860000707,30,13.93,95.7,8.2,27.0,0.14,-0.1,0.03,0.14,0.97,-0.09,-129.2,-0.2,0.0,-1.0,0.0,-0.11,0.0,0.9841747812253675,0.1746424919657298,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.008137192831533802,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.3034618790006789,31,13.94,95.7,8.2,27.0,0.13,-0.09,0.03,0.14,0.97,-0.09,-129.2,0.0,-6.0,-1.0,0.03,-0.19,0.0,0.9841747812253675,0.1609347693943108,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.00797444897490307,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.31230383799993433,32,13.95,95.7,8.3,27.0,0.12,-0.08,0.03,0.14,0.97,-0.1,-129.2,0.2,0.0,-1.0,0.0,0.29,0.0,0.9851395840184273,0.14730919862656236,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.006869453258206426,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.32340321500123537,33,13.96,95.7,8.3,27.0,0.13,-0.06,0.03,0.14,0.97,-0.09,-129.2,0.1,4.0,-1.0,0.0,-0.03,0.0,0.9841747812253675,0.14628738838327796,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.007677570930240907,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.33224128400070185,34,13.97,95.7,8.3,27.0,0.12,-0.04,0.02,0.14,0.98,-0.1,-129.2,-0.5,4.0,-1.0,-0.02,-0.03,0.0,0.9949874371066199,0.12806248474865697,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0030723832519912175,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.34353109299991047,35,13.98,95.8,8.3,27.0,0.12,-0.03,0.02,0.14,0.98,-0.1,-129.2,0.0,-3.0,-1.0,0.0,-0.03,0.0,0.9949874371066199,0.12529964086141668,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0030109355869514243,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.35228190700036066,36,13.99,95.8,8.3,27.0,0.11,-0.02,0.02,0.14,0.98,-0.1,-129.2,0.1,0.0,-1.0,0.0,-0.03,0.0,0.9949874371066199,0.11357816691600546,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0029507168752124224,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.36352620999969076,37,14.0,95.8,8.3,27.0,0.09,0.0,0.02,0.14,0.98,-0.1,-129.2,0.1,1.0,-1.0,0.0,-0.1,0.0,0.9949874371066199,0.09219544457292887,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0028917025377082073,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.3723120260001451,38,14.01,95.8,8.3,27.0,0.09,0.02,0.03,0.14,0.98,-0.1,-129.2,0.0,-7.0,-1.0,0.02,0.13,0.0,0.9949874371066199,0.09695359714832658,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0028338684869539943,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.3833926590014016,39,14.02,95.8,8.3,27.0,0.07,0.03,0.03,0.14,0.98,-0.09,-129.2,0.0,0.0,-1.0,0.0,0.05,0.0,0.9940321926376429,0.0818535277187245,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0018410515376174885,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.3921315180014062,40,14.03,95.8,8.3,27.0,0.04,0.05,0.04,0.14,0.98,-0.1,-129.2,0.0,-2.0,-1.0,0.01,-0.1,0.0,0.9949874371066199,0.0754983443527075,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0027403700864625513,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.4035604290002084,41,14.04,95.8,8.3,27.0,0.03,0.05,0.05,0.14,0.98,-0.09,-129.2,0.0,6.0,-1.0,-0.01,-0.03,0.0,0.9940321926376429,0.07681145747868609,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0017494231051358167,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.412329826000132,42,14.05,95.8,8.3,27.0,0.02,0.05,0.04,0.14,0.98,-0.09,-129.2,-0.1,0.0,-1.0,0.0,0.05,0.0,0.9940321926376429,0.0670820393249937,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0017144346430331137,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.4233774590011308,43,14.06,95.8,8.3,27.0,0.02,0.04,0.05,0.14,0.98,-0.09,-129.2,0.0,0.0,-1.0,0.0,-0.11,0.0,0.9940321926376429,0.0670820393249937,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.001680145950172407,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.43231385800027056,44,14.07,95.8,8.3,27.0,0.0,0.03,0.05,0.14,0.98,-0.09,-129.2,0.0,0.0,-1.0,0.0,-0.03,0.0,0.9940321926376429,0.05830951894845301,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0016465430311689566,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.44359132800127554,45,14.08,95.8,8.3,27.0,0.0,0.02,0.05,0.14,0.98,-0.09,-129.2,0.1,2.0,-1.0,0.0,-0.02,0.0,0.9940321926376429,0.05385164807134505,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0016136121705455642,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.45230257700131915,46,14.09,95.8,8.3,27.0,0.0,0.02,0.05,0.14,0.98,-0.09,-129.2,-0.1,-1.0,-1.0,0.0,0.29,0.0,0.9940321926376429,0.05385164807134505,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0015813399271346062,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.46353629500117677,47,14.1,95.8,8.3,27.0,-0.01,0.02,0.05,0.14,0.98,-0.09,-129.2,0.0,0.0,-1.0,0.0,-0.02,0.0,0.9940321926376429,0.05477225575051661,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0015497131285918675,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.4722979819998727,48,14.11,95.8,8.3,27.0,-0.01,0.0,0.05,0.14,0.98,-0.09,-129.2,0.0,1.0,-1.0,0.0,0.13,0.0,0.9940321926376429,0.050990195135927854,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0015187188660200635,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.48344421300134854,49,14.12,95.8,8.3,27.0,-0.03,0.01,0.05,0.14,0.98,-0.09,-129.2,-0.1,4.0,-1.0,-0.02,0.29,0.0,0.9940321926376429,0.05916079783099616,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0014883444886996111,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.49229265800022404,50,14.13,95.8,8.3,27.0,-0.01,0.0,0.04,0.14,0.98,-0.1,-129.2,0.0,-3.0,-1.0,0.0,-0.02,0.0,0.9949874371066199,0.04123105625617661,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0023947171785230204,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.5035582529999374,51,14.14,95.8,8.3,27.0,0.0,0.0,0.0,0.14,0.98,-0.1,-129.2,0.0,0.0,-1.0,0.0,0.05,0.0,0.9949874371066199,0.0,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0023468228349525777,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.5123027070003445,52,14.15,95.8,8.3,27.0,-0.05,0.02,0.0,0.15,0.98,-0.1,-129.2,0.0,0.0,-1.0,0.0,-0.03,0.0,0.9964436762808021,0.05385164807134505,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.00372700076895216,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.5233642450002662,53,14.16,95.8,8.3,27.0,-0.09,0.03,-0.01,0.14,0.98,-0.1,-129.2,0.0,-3.0,-1.0,0.0,-0.02,0.0,0.9949874371066199,0.09539392014169455,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.002225346362874525,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.5324235019998014,54,14.17,95.8,8.3,27.0,-0.12,0.05,-0.02,0.14,0.98,-0.1,-129.2,0.0,0.0,-1.0,0.0,0.04,0.0,0.9949874371066199,0.13152946437965904,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.002180839435617088,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.5433087380006327,55,14.18,95.8,8.3,27.0,-0.11,0.06,-0.02,0.14,0.97,-0.1,-129.2,0.0,0.0,-1.0,0.0,-0.11,0.0,0.9851395840184273,0.1268857754044952,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.007513673379524022,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.5523010169999907,56,14.19,95.8,8.3,26.9,-0.09,0.09,-0.02,0.14,0.97,-0.1,-129.2,0.0,0.0,-1.0,0.0,-0.03,0.0,0.9851395840184273,0.12884098726725127,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.007363399911933577,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.5632728580003459,57,14.2,95.7,8.3,26.9,-0.08,0.11,-0.01,0.14,0.97,-0.1,-129.2,0.0,-1.0,-1.0,0.0,0.05,0.0,0.9851395840184273,0.13638181696985854,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0072161319136948565,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.5720423290003964,58,14.21,95.7,8.3,26.9,-0.08,0.11,0.0,0.14,0.97,-0.1,-129.2,0.0,-2.0,-1.0,0.0,-0.19,0.0,0.9851395840184273,0.13601470508735444,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.007071809275420948,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.5840412420002394,59,14.22,95.7,8.3,26.9,-0.06,0.11,0.0,0.14,0.97,-0.1,-129.2,0.0,0.0,-1.0,0.0,-0.03,0.0,0.9851395840184273,0.12529964086141668,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0069303730899125116,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.5965064740012167,60,14.23,95.7,8.3,26.9,-0.09,0.11,-0.02,0.14,0.98,-0.1,-129.2,0.0,0.0,-1.0,0.0,0.12,0.0,0.9949874371066199,0.14352700094407325,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.0028591303983144245,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.604478156001278,61,14.24,95.7,8.3,26.9,-0.12,0.13,-0.02,0.14,0.97,-0.1,-129.2,0.2,1.0,-1.0,0.0,-0.11,0.0,0.9851395840184273,0.17804493814764855,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.006848948236080621,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.6162339450002037,62,14.25,95.7,8.3,26.9,-0.12,0.15,-0.02,0.15,0.97,-0.1,-129.2,0.1,3.0,-1.0,-0.01,0.04,0.0,0.986610358753647,0.19313207915827965,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.005270610030843725,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
0.6244185360010306,63,14.26,95.7,8.3,26.9,-0.11,0.19,-0.03,0.15,0.97,-0.1,-129.2,0.1,2.0,-1.0,-0.01,0.12,0.0,0.986610358753647,0.22158519806160337,0.0,0.0,2.0,0.45,0.6,1.2,100.0,1.0,0.18,0.005165197830226842,0.2,1.0,-160.0,0,1,0,calibrating,0,0,0,0,0,0.0
