host_time_s,seq,device_time_s,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,belt_length,belt_velocity,belt_acceleration,motor_pos,motor_vel,motor_iq_meas,motor_iq_set,acc_mag,gyro_mag,acc_residual,threshold,heel_strike,hs_count,torque_cmd_nm
2.0713522080004623,3,4807.26,-96.5,-1.9,-76.0,0.44,6.98,0.0,-0.03,-0.97,-0.15,-187.1,-15.6,-41.0,0.56,0.45,0.0,0.0,0.9819877799646999,6.993854445153974,0.0,0.28,0,0,0.0
2.082989238000664,4,4807.27,-96.5,-1.8,-75.3,0.4,7.0,0.01,-0.03,-0.95,-0.15,-187.2,-16.4,-25.0,0.56,0.5,-0.05,0.0,0.9622369770487933,7.011426388403432,0.01935578685758843,0.28,0,0,0.0
2.092965058000118,5,4807.28,-96.5,-1.7,-74.6,0.46,7.0,0.03,-0.03,-0.95,-0.15,-187.4,-21.6,-48.0,0.57,0.65,0.07,0.0,0.9622369770487933,7.0151621506562485,0.018968671120436653,0.28,0,0,0.0
2.101638140000432,6,4807.29,-96.5,-1.6,-73.9,0.43,7.01,0.07,-0.03,-0.95,-0.15,-187.7,-24.3,-20.0,0.58,0.66,-0.05,0.0,0.9622369770487933,7.0235247561320655,0.018589297698027973,0.28,0,0,0.0
2.112913526000739,7,4807.3,-96.5,-1.6,-73.2,0.36,7.02,0.12,-0.03,-0.95,-0.15,-187.9,-25.5,-13.0,0.58,0.69,-0.16,0.0,0.9622369770487933,7.03024892873645,0.018217511744067383,0.28,0,0,0.0
2.12149270000009,8,4807.31,-96.5,-1.5,-72.5,0.3,7.01,0.14,-0.03,-0.96,-0.15,-188.2,-26.3,-20.0,0.59,0.76,0.17,0.0,0.972111104761179,7.017813049661553,0.008176516351047991,0.28,0,0,0.0
2.1324957599999834,9,4807.32,-96.5,-1.4,-71.8,0.27,7.01,0.16,-0.02,-0.96,-0.15,-188.5,-30.1,-35.0,0.6,0.88,0.01,0.0,0.9718538984847465,7.017022160432443,0.0082650481749309,0.28,0,0,0.0
2.141309258000547,10,4807.33,-96.5,-1.4,-71.1,0.25,7.02,0.17,-0.02,-0.97,-0.15,-188.8,-34.7,-31.0,0.61,0.96,0.09,0.0,0.9817331613019904,7.0265069558067035,0.0015819303494667425,0.28,0,0,0.0
2.15283384400027,11,4807.34,-96.6,-1.3,-70.4,0.26,6.99,0.16,-0.03,-0.96,-0.14,-189.2,-38.1,-29.0,0.62,1.06,0.0,0.0,0.9706183596038146,6.996663490550335,0.009342213921734843,0.28,0,0,0.0
2.1615252280007553,12,4807.35,-96.6,-1.3,-69.7,0.21,6.95,0.16,-0.03,-0.96,-0.13,-189.6,-39.0,-22.0,0.63,1.09,0.06,0.0,0.9692264957170744,6.955012580865688,0.010519396252305468,0.28,0,0,0.0
2.172912357000314,13,4807.36,-96.6,-1.2,-69.0,0.09,6.86,0.16,-0.04,-0.95,-0.14,-190.0,-40.4,-10.0,0.64,1.09,0.02,0.0,0.9610931276416453,6.862455828637442,0.018279709041179815,0.28,0,0,0.0
2.181605089000186,14,4807.37,-96.6,-1.2,-68.3,-0.05,6.74,0.15,-0.04,-0.96,-0.14,-190.4,-38.5,7.0,0.65,1.04,-0.08,0.0,0.9709788875150684,6.741854344318038,0.00822607018440158,0.28,0,0,0.0
2.1930065290007406,15,4807.38,-96.7,-1.1,-67.7,-0.17,6.67,0.17,-0.05,-0.96,-0.14,-190.8,-40.3,-16.0,0.66,1.13,0.0,0.0,0.9714422267947795,6.67433142719179,0.007607476286596637,0.28,0,0,0.0
2.201510180000696,16,4807.39,-96.7,-1.1,-67.0,-0.16,6.59,0.22,-0.04,-0.96,-0.14,-191.2,-43.6,-31.0,0.67,1.25,0.12,0.0,0.9709788875150684,6.595612177804271,0.007909399254981575,0.28,0,0,0.0
2.212925303000702,17,4807.4,-96.7,-1.0,-66.3,-0.13,6.46,0.29,-0.03,-0.96,-0.13,-191.7,-48.6,-46.0,0.69,1.39,-0.15,0.0,0.9692264957170744,6.4678126132410485,0.009468555231916032,0.28,0,0,0.0
2.221257699000489,18,4807.41,-96.8,-1.0,-65.7,-0.12,6.34,0.35,-0.02,-0.96,-0.14,-192.2,-54.4,-56.0,0.7,1.55,0.16,0.0,0.9703607576566562,6.350787352761861,0.008167607426487589,0.28,0,0,0.0
2.2324160180005492,19,4807.42,-96.8,-1.0,-65.1,-0.13,6.28,0.41,-0.01,-0.96,-0.15,-192.8,-60.1,-47.0,0.72,1.67,0.13,0.0,0.9716995420396163,6.294712066488824,0.006692246582656991,0.28,0,0,0.0
2.2415085570000883,20,4807.43,-96.9,-0.9,-64.5,-0.18,6.23,0.47,0.0,-0.96,-0.15,-193.4,-62.6,-32.0,0.74,1.73,0.08,0.0,0.9716480844420988,6.250295992991052,0.006608830096570983,0.28,0,0,0.0
2.25298424399989,21,4807.44,-96.9,-0.9,-63.8,-0.21,6.2,0.52,0.0,-0.95,-0.15,-194.0,-66.0,-32.0,0.75,1.82,0.01,0.0,0.9617692030835672,6.2253112371993105,0.016157957226000552,0.28,0,0,0.0
2.2616901740002504,22,4807.45,-97.0,-0.9,-63.2,-0.28,6.16,0.55,0.0,-0.96,-0.15,-194.7,-68.7,-29.0,0.77,1.89,-0.07,0.0,0.9716480844420988,6.190840007624168,0.0061534943501194705,0.28,0,0,0.0
2.273025376000078,23,4807.46,-97.0,-0.8,-62.6,-0.26,6.15,0.57,0.0,-0.95,-0.16,-195.4,-71.8,-19.0,0.79,1.94,-0.01,0.0,0.9633794683301071,6.181828208548018,0.014133668252868992,0.28,0,0,0.0
2.281705060000604,24,4807.47,-97.1,-0.8,-62.0,-0.34,6.19,0.6,0.0,-0.95,-0.17,-196.1,-70.3,8.0,0.81,1.86,0.05,0.0,0.965090669315583,6.228298322977152,0.01217401792204531,0.28,0,0,0.0
2.2930024180004693,25,4807.48,-97.2,-0.8,-61.3,-0.46,6.23,0.63,0.0,-0.94,-0.17,-196.8,-68.6,7.0,0.83,1.86,0.09,0.0,0.95524865872714,6.278646350926289,0.02157570794027841,0.28,0,0,0.0
2.301671226000508,26,4807.49,-97.3,-0.8,-60.7,-0.61,6.26,0.65,0.0,-0.95,-0.18,-197.5,-68.9,-4.0,0.85,1.89,0.07,0.0,0.966902270139025,6.3231479501906325,0.009723654597825648,0.28,0,0,0.0
2.3129825169999094,27,4807.5,-97.4,-0.7,-60.1,-0.7,6.28,0.73,0.0,-0.95,-0.18,-198.2,-68.6,5.0,0.87,1.86,0.05,0.0,0.966902270139025,6.3609197448167825,0.009529181505869122,0.28,0,0,0.0
2.3215584370000215,28,4807.51,-97.5,-0.7,-59.4,-0.8,6.32,0.77,-0.01,-0.96,-0.18,-198.9,-69.1,-15.0,0.89,1.93,0.13,0.0,0.9767804256842988,6.416798267048763,0.00034199455861660955,0.28,0,0,0.0
2.33285984900067,29,4807.52,-97.6,-0.7,-58.8,-0.79,6.33,0.83,-0.01,-0.97,-0.18,-199.6,-74.1,-43.0,0.91,2.09,-0.03,0.0,0.986610358753647,6.432876495005947,0.009968489075405484,0.28,0,0,0.0
2.341471024999919,30,4807.53,-97.8,-0.7,-58.2,-0.76,6.32,0.87,0.0,-0.98,-0.18,-200.4,-80.9,-62.0,0.93,2.29,-0.02,0.0,0.996393496566492,6.424710110191744,0.019356594350485534,0.28,0,0,0.0
2.352835454000342,31,4807.54,-97.9,-0.7,-57.5,-0.65,6.33,0.91,0.0,-0.98,-0.19,-201.2,-85.5,-37.0,0.95,2.34,0.01,0.0,0.9982484660644363,6.428024579915668,0.02078733257146126,0.28,0,0,0.0
2.3616359480001847,32,4807.55,-98.0,-0.7,-56.9,-0.5,6.39,0.97,-0.01,-0.98,-0.19,-202.1,-83.7,17.0,0.98,2.19,0.0,0.0,0.9982985525382675,6.482514944062991,0.020420670664386575,0.28,0,0,0.0
2.3729440400002204,33,4807.56,-98.1,-0.7,-56.2,-0.61,6.46,1.01,-0.04,-0.99,-0.18,-202.9,-76.6,52.0,1.0,1.99,-0.12,0.0,1.0070253224224304,6.566871401207732,0.028564491737578468,0.28,0,0,0.0
2.3814587980004944,34,4807.57,-98.2,-0.8,-55.6,-0.78,6.45,1.0,-0.05,-1.0,-0.16,-203.6,-66.6,92.0,1.01,1.67,0.17,0.0,1.0139526616169021,6.573499828858292,0.034781994313409226,0.28,0,0,0.0
2.392904066000483,35,4807.58,-98.3,-0.8,-54.9,-0.86,6.34,0.97,-0.06,-1.0,-0.15,-204.2,-54.9,102.0,1.03,1.38,-0.11,0.0,1.0129659421717987,6.471174545629255,0.03311936937093973,0.28,0,0,0.0
2.4015879759999734,36,4807.59,-98.4,-0.8,-54.3,-0.85,6.18,0.89,-0.06,-1.01,-0.14,-204.7,-45.7,95.0,1.04,1.12,-0.03,0.0,1.0214205793893132,6.301349061907299,0.04074252645668519,0.28,0,0,0.0
2.4127979840004627,37,4807.6,-98.5,-0.9,-53.7,-0.85,6.04,0.78,-0.06,-1.02,-0.14,-205.0,-36.5,87.0,1.05,0.91,-0.22,0.0,1.031309846748299,6.149186938124422,0.04961915793935767,0.28,0,0,0.0
2.4214561060007327,38,4807.61,-98.5,-0.9,-53.1,-0.88,5.87,0.66,-0.06,-1.02,-0.13,-205.4,-31.1,70.0,1.06,0.74,0.15,0.0,1.03,5.972177157452716,0.04734312496723747,0.28,0,0,0.0
2.432976810000582,39,4807.62,-98.6,-0.9,-52.5,-0.82,5.65,0.52,-0.06,-1.03,-0.12,-205.6,-24.4,46.0,1.07,0.65,-0.16,0.0,1.0387011119662866,5.7328265279877435,0.05492335219485356,0.28,0,0,0.0
2.4416520510003465,40,4807.63,-98.7,-0.9,-52.0,-0.69,5.41,0.41,-0.06,-1.03,-0.12,-205.9,-22.6,40.0,1.07,0.54,0.01,0.0,1.0387011119662866,5.469213837472439,0.053824885150956514,0.28,0,0,0.0
2.4529725770007644,41,4807.64,-98.7,-0.8,-51.4,-0.55,5.17,0.34,-0.06,-1.01,-0.12,-206.1,-18.4,34.0,1.08,0.46,0.01,0.0,1.0188719252192593,5.210278303507405,0.033315784435850704,0.28,0,0,0.0
2.4616472450006768,42,4807.65,-98.8,-0.8,-50.9,-0.46,4.92,0.28,-0.06,-1.01,-0.11,-206.2,-16.5,24.0,1.08,0.41,-0.01,0.0,1.017742600071354,4.94938380003006,0.031542730102186556,0.28,0,0,0.0
2.4728982220003672,43,4807.66,-98.8,-0.8,-50.4,-0.45,4.65,0.24,-0.06,-1.0,-0.1,-206.4,-14.2,17.0,1.08,0.39,0.08,0.0,1.0067770358922576,4.677884137085911,0.020165622604628286,0.28,0,0,0.0
2.481644588000563,44,4807.67,-98.8,-0.8,-50.0,-0.44,4.36,0.22,-0.06,-0.99,-0.1,-206.5,-16.0,-7.0,1.09,0.45,-0.06,0.0,0.9968450230602548,4.387664526829735,0.010028937577172936,0.28,0,0,0.0
2.4930062920002456,45,4807.68,-98.8,-0.8,-49.6,-0.43,4.1,0.24,-0.05,-0.98,-0.1,-206.7,-17.9,-10.0,1.09,0.48,0.0,0.0,0.9863569333664157,4.129467277991194,0.0004499690743328122,0.28,0,0,0.0
2.501638720000301,46,4807.69,-98.9,-0.8,-49.2,-0.43,3.84,0.25,-0.05,-0.98,-0.1,-206.9,-19.3,-19.0,1.1,0.56,0.01,0.0,0.9863569333664157,3.8720795446374807,0.0004409696928461271,0.28,0,0,0.0
2.512984742000299,47,4807.7,-98.9,-0.8,-48.8,-0.43,3.59,0.27,-0.04,-0.98,-0.1,-207.1,-20.7,-11.0,1.1,0.57,-0.05,0.0,0.985900603509299,3.6257275132033846,0.0008793535589636248,0.28,0,0,0.0
2.521594389000711,48,4807.71,-98.9,-0.7,-48.5,-0.45,3.37,0.24,-0.04,-0.99,-0.11,-207.3,-21.6,-21.0,1.11,0.64,0.06,0.0,0.9968951800465282,3.408372045419925,0.009912918518700353,0.28,0,0,0.0
2.532989066000482,49,4807.72,-98.9,-0.7,-48.1,-0.49,3.21,0.21,-0.05,-0.98,-0.11,-207.5,-22.1,7.0,1.12,0.55,-0.14,0.0,0.9874208829065749,3.253966809910636,0.0004298489511721515,0.28,0,0,0.0
2.5416481030006253,50,4807.73,-99.0,-0.7,-47.8,-0.55,3.07,0.22,-0.05,-0.99,-0.12,-207.7,-19.3,7.0,1.12,0.54,0.09,0.0,0.9984988733093292,3.1266275761593354,0.011277682566847913,0.28,0,0,0.0
2.5530295349999506,51,4807.74,-99.0,-0.7,-47.5,-0.49,2.94,0.19,-0.05,-0.99,-0.12,-207.9,-19.3,4.0,1.13,0.53,0.07,0.0,0.9984988733093292,2.986603421949422,0.011052128915510995,0.28,0,0,0.0
2.5616300120000233,52,4807.75,-99.0,-0.7,-47.2,-0.39,2.81,0.18,-0.05,-0.98,-0.12,-208.1,-18.7,5.0,1.13,0.51,0.08,0.0,0.9885848471426213,2.8426396183828864,0.001115340693827016,0.28,0,0,0.0
2.5729790989998946,53,4807.76,-99.1,-0.7,-47.0,-0.28,2.7,0.17,-0.05,-0.97,-0.13,-208.3,-19.1,2.0,1.14,0.51,-0.06,0.0,0.9799489782636644,2.7197977866010556,0.007370117621427252,0.28,0,0,0.0
2.581598022000435,54,4807.77,-99.1,-0.7,-46.7,-0.23,2.61,0.18,-0.04,-0.96,-0.13,-208.5,-16.1,38.0,1.14,0.34,0.0,0.0,0.9695875411740809,2.6262901591408365,0.017376923616790663,0.28,0,0,0.0
2.5928832180006793,55,4807.78,-99.1,-0.7,-46.4,-0.23,2.56,0.19,-0.04,-0.96,-0.14,-208.6,-10.6,30.0,1.14,0.28,-0.02,0.0,0.9709788875150684,2.577324193810317,0.015665865730287054,0.28,0,0,0.0
2.601632167000389,56,4807.79,-99.1,-0.7,-46.2,-0.2,2.51,0.21,-0.04,-0.96,-0.14,-208.7,-11.3,7.0,1.15,0.29,-0.07,0.0,0.9709788875150684,2.5266974492408067,0.015352548415681344,0.28,0,0,0.0
2.613004692000686,57,4807.8,-99.1,-0.7,-45.9,-0.18,2.47,0.22,-0.04,-0.97,-0.14,-208.8,-11.2,0.0,1.15,0.31,0.0,0.0,0.9808669634563089,2.48630247556487,0.0053551830249520815,0.28,0,0,0.0
2.6216342460002124,58,4807.81,-99.1,-0.7,-45.7,-0.18,2.42,0.2,-0.04,-0.98,-0.13,-208.9,-9.9,22.0,1.15,0.2,-0.02,0.0,0.9893937537704591,2.434912729442269,0.0031081751434142157,0.28,0,0,0.0
