host_time_s,seq,device_time_s,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,belt_length,belt_velocity,belt_acceleration,motor_belt_length,motor_pos,motor_vel,motor_iq_meas,motor_iq_set,acc_mag,gyro_mag,acc_residual,threshold,heel_strike,hs_count,torque_cmd_nm
3.070022011999754,1,4480.2,-95.3,-0.8,-99.3,-0.22,2.98,0.44,-0.03,-0.99,-0.08,-209.6,-0.3,0.0,0.0,1.17,0.0,-0.09,0.0,0.9936800289831732,3.0203311076767725,0.0,0.28,0,0,0.0
3.077956864999578,2,4480.21,-95.4,-0.9,-98.7,-0.06,2.81,0.44,-0.04,-1.0,-0.08,-209.6,-0.5,0.0,0.0,1.17,0.0,0.0,0.0,1.0039920318408906,2.844872580626415,0.010105762800563078,0.28,0,0,0.0
3.0860465249998015,3,4480.22,-95.4,-0.9,-98.4,0.02,2.7,0.42,-0.04,-1.0,-0.08,-209.6,-0.9,-3.0,0.0,1.17,0.03,-0.04,0.0,1.0039920318408906,2.7325446016488004,0.009903647544551863,0.28,0,0,0.0
3.0941032820001055,4,4480.23,-95.4,-1.0,-98.1,0.05,2.61,0.4,-0.04,-1.0,-0.08,-209.6,-1.5,-7.0,0.0,1.17,0.05,0.04,0.0,1.0039920318408906,2.6409467999185443,0.009705574593660837,0.28,0,0,0.0
3.106035783000152,5,4480.24,-95.4,-1.0,-97.9,0.03,2.55,0.39,-0.05,-0.99,-0.08,-209.6,-2.8,-11.0,0.0,1.17,0.09,-0.01,0.0,0.9944847912361455,2.579825575499243,0.00019436730913746647,0.28,0,0,0.0
3.114087425999969,6,4480.25,-95.3,-1.0,-97.6,-0.01,2.46,0.35,-0.05,-0.99,-0.07,-209.7,-4.4,-15.0,0.0,1.17,0.16,0.06,0.0,0.9937303457175894,2.4847937540166183,0.0005488766452302896,0.28,0,0,0.0
3.1258988079998744,7,4480.26,-95.3,-1.1,-97.4,-0.07,2.36,0.3,-0.05,-0.98,-0.07,-209.7,-6.8,-14.0,0.0,1.17,0.19,0.01,0.0,0.9837682653958705,2.380021008310641,0.010300737827610318,0.28,0,0,0.0
3.13408032299958,8,4480.27,-95.4,-1.1,-97.1,-0.13,2.3,0.25,-0.05,-0.98,-0.07,-209.8,-6.4,1.0,0.010000000000000009,1.18,0.14,0.01,0.0,0.9837682653958705,2.3171965820793017,0.010094723071058076,0.28,0,0,0.0
3.1458395709996694,9,4480.28,-95.4,-1.1,-96.9,-0.19,2.24,0.2,-0.04,-0.98,-0.08,-209.9,-4.9,6.0,0.010000000000000009,1.18,0.15,0.0,0.0,0.9840731680114034,2.2569226836557785,0.009594024046414629,0.28,0,0,0.0
3.1540170230000513,10,4480.29,-95.4,-1.1,-96.7,-0.25,2.18,0.17,-0.04,-0.99,-0.08,-209.9,-7.2,-23.0,0.010000000000000009,1.18,0.25,0.07,0.0,0.9940321926376429,2.2008634669147473,0.0003577005682282586,0.28,0,0,0.0
3.165862130000278,11,4480.3,-95.4,-1.1,-96.5,-0.29,2.11,0.13,-0.04,-0.99,-0.08,-210.0,-9.2,-4.0,0.010000000000000009,1.18,0.2,-0.03,0.0,0.9940321926376429,2.1337994282499935,0.00035054655686372893,0.28,0,0,0.0
3.1740510649997304,12,4480.31,-95.4,-1.1,-96.3,-0.34,2.07,0.11,-0.03,-1.0,-0.08,-210.1,-6.0,20.0,0.010000000000000009,1.18,0.12,0.12,0.0,1.0036433629531956,2.100618956403088,0.009762482534968142,0.28,0,0,0.0
3.185793437999564,13,4480.32,-95.5,-1.1,-96.1,-0.32,2.0,0.1,-0.03,-1.0,-0.08,-210.1,-5.7,0.0,0.020000000000000018,1.19,0.16,0.22,0.0,1.0036433629531956,2.0279053232338042,0.00956723288426875,0.28,0,0,0.0
3.1940128539999932,14,4480.33,-95.5,-1.1,-95.9,-0.28,1.94,0.09,-0.02,-1.0,-0.07,-210.2,-7.0,-8.0,0.020000000000000018,1.19,0.22,0.15,0.0,1.002646498024104,1.9621671692289624,0.008398960596073701,0.28,0,0,0.0
3.205805192000298,15,4480.34,-95.5,-1.1,-95.7,-0.22,1.9,0.08,-0.02,-1.0,-0.07,-210.3,-8.1,-7.0,0.020000000000000018,1.19,0.25,0.16,0.0,1.002646498024104,1.914366736025258,0.008230981384152236,0.28,0,0,0.0
3.214046699999926,16,4480.35,-95.5,-1.1,-95.5,-0.19,1.87,0.08,-0.02,-0.99,-0.07,-210.4,-12.8,-51.0,0.020000000000000018,1.19,0.44,0.2,0.0,0.9926731586982696,1.88132931726479,0.001707510782848698,0.28,0,0,0.0
3.2258678890002557,17,4480.36,-95.5,-1.1,-95.3,-0.22,1.85,0.08,-0.03,-0.98,-0.08,-210.5,-15.7,-17.0,0.030000000000000027,1.2,0.42,-0.11,0.0,0.983717439105356,1.864751994234086,0.010449965768246972,0.28,0,0,0.0
3.234043634000045,18,4480.37,-95.6,-1.1,-95.1,-0.28,1.81,0.09,-0.03,-0.98,-0.08,-210.7,-14.8,5.0,0.030000000000000027,1.2,0.36,0.03,0.0,0.983717439105356,1.833739348980656,0.010240966452882083,0.28,0,0,0.0
3.2457725000003848,19,4480.38,-95.6,-1.1,-94.9,-0.31,1.76,0.08,-0.03,-0.98,-0.08,-210.8,-15.7,-19.0,0.040000000000000036,1.21,0.46,-0.16,0.0,0.983717439105356,1.7888823326311878,0.01003614712382439,0.28,0,0,0.0
3.2539039709999997,20,4480.39,-95.6,-1.1,-94.8,-0.36,1.71,0.08,-0.04,-0.98,-0.08,-211.0,-16.5,0.0,0.040000000000000036,1.21,0.42,-0.11,0.0,0.9840731680114034,1.7493141513175956,0.00948680985342143,0.28,0,0,0.0
3.265869257000304,21,4480.4,-95.7,-1.1,-94.6,-0.38,1.68,0.07,-0.03,-0.98,-0.08,-211.2,-13.9,22.0,0.040000000000000036,1.21,0.35,0.0,0.0,0.983717439105356,1.7238619434281852,0.00964568798427945,0.28,0,0,0.0
3.274069060000329,22,4480.41,-95.7,-1.1,-94.4,-0.41,1.65,0.06,-0.03,-0.99,-0.08,-211.3,-13.6,-1.0,0.050000000000000044,1.22,0.41,-0.03,0.0,0.9936800289831732,1.701234845634194,0.00031056385566696765,0.28,0,0,0.0
3.285809187999803,23,4480.42,-95.7,-1.1,-94.3,-0.42,1.6,0.04,-0.03,-1.0,-0.08,-211.4,-14.8,-6.0,0.050000000000000044,1.22,0.41,-0.08,0.0,1.0036433629531956,1.6546903033498446,0.010068419869175504,0.28,0,0,0.0
3.293839764999575,24,4480.43,-95.8,-1.1,-94.1,-0.43,1.54,0.05,-0.03,-1.0,-0.08,-211.6,-12.9,24.0,0.06000000000000005,1.23,0.28,-0.18,0.0,1.0036433629531956,1.5996874694764598,0.00986705147179201,0.28,0,0,0.0
3.3057963390001532,25,4480.44,-95.8,-1.1,-93.9,-0.37,1.49,0.06,-0.03,-1.0,-0.08,-211.7,-11.1,-1.0,0.06000000000000005,1.23,0.36,0.15,0.0,1.0036433629531956,1.536424420529692,0.009669710442356205,0.28,0,0,0.0
3.314035854999929,26,4480.45,-95.8,-1.1,-93.8,-0.32,1.47,0.08,-0.03,-0.99,-0.08,-211.8,-14.7,-21.0,0.06000000000000005,1.23,0.45,-0.02,0.0,0.9936800289831732,1.5065523555456013,0.00028775105711287274,0.28,0,0,0.0
3.3258559209998566,27,4480.46,-95.9,-1.1,-93.7,-0.29,1.43,0.11,-0.02,-0.99,-0.08,-212.0,-17.0,-13.0,0.07000000000000006,1.24,0.45,-0.05,0.0,0.9934284070832683,1.4632498077908638,0.0005285854978773763,0.28,0,0,0.0
3.3340158099999826,28,4480.47,-95.9,-1.1,-93.5,-0.24,1.38,0.1,-0.02,-0.99,-0.08,-212.2,-17.1,-11.0,0.07000000000000006,1.24,0.48,-0.11,0.0,0.9934284070832683,1.4042791745233565,0.0005180137879198243,0.28,0,0,0.0
