file,ready,duration_s,ready_time_s,reference_kind,reference_count,detected_count,imu_count,assist_count,tp,fp,fn,precision,recall,f1,timing_mae_s,timing_bias_s,acc_threshold,gyro_threshold,belt_threshold,left_count,right_count,all_reference_count,all_detection_f1,all_detection_mae_s,gate_reference_count,assist_gate_f1,assist_gate_precision,assist_gate_recall,alternation_rate,gyro_belt_side_agreement
TEST1.csv,1,40.36319254,6.002819282000019,belt_hs,0,20,51,20,0,20,0,0.0,0.0,0.0,nan,nan,0.17944222631962947,2.2620727331114763,-153.93,26,25,0,0.0,nan,0,0.0,0.0,0.0,0.84,0.8431372549019608
TEST11.csv,1,23.162758752999252,6.0069477039996855,belt_hs,0,1,12,1,0,1,0,0.0,0.0,0.0,nan,nan,0.1047708909716928,2.001896764280177,-119.47625,4,8,0,0.0,nan,0,0.0,0.0,0.0,0.7272727272727273,0.5833333333333334
TEST12.csv,1,19.396407278999504,8.008578492999732,belt_hs,0,10,14,10,0,10,0,0.0,0.0,0.0,nan,nan,0.08232156157864653,1.4988110745995558,-42.02875,10,4,0,0.0,nan,0,0.0,0.0,0.0,0.23076923076923078,0.7857142857142857
TEST13.csv,1,13.564395778999824,8.018305385000076,belt_hs,0,0,2,0,0,0,0,0.0,0.0,0.0,nan,nan,0.05911240705069802,0.41156396708146226,-92.95,1,1,0,0.0,nan,0,0.0,0.0,0.0,1.0,0.5
TEST14.csv,1,25.264302330999726,8.016007659000024,belt_hs,0,3,11,3,0,3,0,0.0,0.0,0.0,nan,nan,0.058998471797606034,0.44529591445173516,-71.488,5,6,0,0.0,nan,0,0.0,0.0,0.0,0.6,0.8181818181818182
TEST17.csv,1,18.15843207800026,6.002266428000439,belt_hs,0,3,9,3,0,3,0,0.0,0.0,0.0,nan,nan,0.143426443597193,0.7097179003303518,-123.339375,3,6,0,0.0,nan,0,0.0,0.0,0.0,0.5,0.5555555555555556
TEST2.csv,1,16.253605596999932,6.003001386000051,belt_hs,6,4,13,4,0,4,6,0.0,0.0,0.0,nan,nan,0.16988342015023367,2.0344437279301073,-145.88041666666666,8,5,6,0.42105263157894735,0.12810361375011325,0,0.0,0.0,0.0,0.75,0.6923076923076923
TEST3.csv,1,41.650683697000204,6.0090334350002195,belt_hs,13,27,51,27,1,26,12,0.037037037037037035,0.07692307692307693,0.05,0.19068947299956562,0.19068947299956562,0.19969960881789656,2.3918947051717043,-126.837,28,23,13,0.28125,0.20096588511114533,13,0.05,0.037037037037037035,0.07692307692307693,0.88,0.9411764705882353
TEST4.csv,1,13.693066225000166,6.009143408999989,belt_hs,0,2,12,2,0,2,0,0.0,0.0,0.0,nan,nan,0.18460350826872274,1.990242106879871,-156.05958333333334,5,7,0,0.0,nan,0,0.0,0.0,0.0,0.7272727272727273,0.75
TEST5.csv,1,34.84299801199995,6.003279007999936,belt_hs,0,6,45,6,0,6,0,0.0,0.0,0.0,nan,nan,0.22470470581238453,1.9447839135297815,-138.787,21,24,0,0.0,nan,0,0.0,0.0,0.0,0.6590909090909091,0.6222222222222222
