initial_threshold,runtime_threshold,gait_cycle,events,event_coverage,short_gaps,long_gaps,alternation,assists,assist_coverage,peak_rise_ms,confirm_delay_ms,speed_mps,percentile
0.0762438192920373,0.07634302711510252,1.9343364260000726,55,101.52456142212947,2,1,98.14814814814815,27,100.0,28.775424000059502,19.705979000036677,0.4,82.0
0.07920478148120787,0.08036614820216992,1.9343364260000726,54,99.67866030536348,0,1,100.0,27,100.0,28.727287000037904,19.701171000065187,0.4,84.0
0.08612493342834382,0.08639265427717255,1.9327729569999974,54,99.67866030536348,0,1,100.0,27,100.0,28.66716550011006,19.701171000065187,0.4,86.0
0.09385084873091455,0.09299539332191174,1.9397116069999356,53,97.83275918859748,0,2,98.07692307692307,26,96.29629629629629,24.164774999917427,19.696363000093697,0.4,88.0
0.10166324577981369,0.1002946045591974,1.9397116069999356,52,95.98685807183149,0,2,96.07843137254902,25,92.5925925925926,20.16003800008548,19.701171000065187,0.4,90.0
0.1395120510243421,0.1406340296718334,1.6036933580001005,65,98.24577183466302,0,0,100.0,32,100.0,40.09642200003327,19.79948799998965,0.6,82.0
0.144127343660175,0.14982594196772164,1.6036933580001005,65,98.24577183466302,0,0,100.0,32,100.0,40.0282220000463,19.79948799998965,0.6,84.0
0.15975822989163677,0.1639004879107115,1.6011550839998563,65,98.24577183466302,0,0,100.0,32,100.0,37.70303800001784,19.813804000023083,0.6,86.0
0.1836948643742169,0.18302744860326214,1.6036933580001005,65,98.24577183466302,0,0,100.0,32,100.0,30.91842899993935,19.813804000023083,0.6,88.0
0.19362919158042155,0.2045461129065494,1.6011550839998563,65,98.24577183466302,0,0,100.0,32,100.0,28.18203300012101,19.813804000023083,0.6,90.0
0.18962359538855572,0.19674671140354863,1.3360390719999486,78,99.499219458451,0,0,100.0,39,100.0,36.13261899999998,11.950429999956214,0.8,82.0
0.20069702691285443,0.20873754554111953,1.3360390719999486,78,99.499219458451,0,0,100.0,39,100.0,34.76323750010124,11.857243000008566,0.8,84.0
0.2113669971450933,0.2216994692952234,1.3296827885000084,78,99.499219458451,0,0,100.0,39,100.0,31.083438499990734,12.018608499943184,0.8,86.0
0.2232666793682325,0.24048441584725203,1.3296827885000084,78,99.499219458451,0,0,100.0,39,100.0,30.883771500043622,12.018608499943184,0.8,88.0
0.24468725616604797,0.2651442819773195,1.3296827885000084,78,99.499219458451,0,0,100.0,39,100.0,29.621783500033416,12.140863000013269,0.8,90.0
0.21911194843155654,0.2231387183838805,1.2401046210000004,85,101.13855832601169,0,0,97.61904761904762,42,100.0,50.52213599992683,11.868779999986145,1.0,82.0
0.22929605258719177,0.23544684648500103,1.2317099580000104,84,99.94869293394098,0,0,95.18072289156626,40,95.23809523809524,48.48545400000148,11.739717999944332,1.0,84.0
0.26298785361814714,0.2545430611489065,1.230354835000071,84,99.94869293394098,0,0,95.18072289156626,40,95.23809523809524,44.282348000024285,12.067278499898748,1.0,86.0
0.30128637874080155,0.2837699275528273,1.229805929999884,84,99.94869293394098,0,0,97.59036144578313,41,97.61904761904762,40.32050850014457,11.731241000006776,1.0,88.0
0.32786317299445134,0.3159084991863418,1.236064939999892,84,99.94869293394098,0,0,95.18072289156626,40,95.23809523809524,31.168034500069552,11.731241000006776,1.0,90.0
