t_s,timestamp,state,phase,phase_progress,belt_length,belt_velocity,target_belt_length,profile,assist_gain,force_n,assist_force_n,impedance_force_n,current_a,saturated,faults
0.0171,7.3800,INIT,STANCE,,-24.600,-1.300,-24.600,0.0000,0.0000,0.0020,0.0000,0.0020,0.0482,0,
0.0290,7.3900,INIT,STANCE,,-24.600,-2.400,-24.600,0.0000,0.0000,0.0036,0.0000,0.0036,0.0501,0,
0.0373,7.4000,INIT,STANCE,,-24.600,-4.100,-24.600,0.0000,0.0000,0.0061,0.0000,0.0061,0.0530,0,
0.0492,7.4100,INIT,STANCE,,-24.700,-5.000,-24.700,0.0000,0.0000,0.0075,0.0000,0.0075,0.0546,0,
0.0571,7.4200,INIT,STANCE,,-24.700,-5.100,-24.700,0.0000,0.0000,0.0076,0.0000,0.0076,0.0548,0,
0.0692,7.4300,INIT,STANCE,,-24.800,-5.200,-24.800,0.0000,0.0000,0.0078,0.0000,0.0078,0.0549,0,
0.0770,7.4400,INIT,STANCE,,-24.900,-5.400,-24.900,0.0000,0.0000,0.0081,0.0000,0.0081,0.0553,0,
0.0892,7.4500,INIT,STANCE,,-24.900,-7.000,-24.900,0.0000,0.0000,0.0105,0.0000,0.0105,0.0580,0,
0.0972,7.4600,INIT,STANCE,,-25.000,-6.600,-25.000,0.0000,0.0000,0.0099,0.0000,0.0099,0.0574,0,
0.1091,7.4700,INIT,STANCE,,-25.000,-2.800,-25.000,0.0000,0.0000,0.0042,0.0000,0.0042,0.0508,0,
0.1172,7.4800,INIT,STANCE,,-25.000,-1.900,-25.000,0.0000,0.0000,0.0029,0.0000,0.0029,0.0493,0,
0.1291,7.4900,INIT,STANCE,,-25.100,-2.900,-25.100,0.0000,0.0000,0.0043,0.0000,0.0043,0.0510,0,
0.1372,7.5000,INIT,STANCE,,-25.100,-4.700,-25.100,0.0000,0.0000,0.0071,0.0000,0.0071,0.0541,0,
0.1491,7.5100,INIT,STANCE,,-25.200,-7.100,-25.200,0.0000,0.0000,0.0106,0.0000,0.0106,0.0582,0,
0.1571,7.5200,INIT,STANCE,,-25.300,-7.000,-25.300,0.0000,0.0000,0.0105,0.0000,0.0105,0.0580,0,
0.1692,7.5300,INIT,STANCE,,-25.300,-6.600,-25.300,0.0000,0.0000,0.0099,0.0000,0.0099,0.0574,0,
0.1771,7.5400,INIT,STANCE,,-25.400,-5.500,-25.400,0.0000,0.0000,0.0083,0.0000,0.0083,0.0555,0,
0.1892,7.5500,INIT,STANCE,,-25.400,-2.100,-25.400,0.0000,0.0000,0.0032,0.0000,0.0032,0.0496,0,
0.1972,7.5600,INIT,STANCE,,-25.400,-0.200,-25.400,0.0000,0.0000,0.0003,0.0000,0.0003,0.0463,0,
0.2092,7.5700,INIT,STANCE,,-25.400,-0.200,-25.400,0.0000,0.0000,0.0003,0.0000,0.0003,0.0463,0,
0.2172,7.5800,INIT,STANCE,,-25.400,-0.300,-25.400,0.0000,0.0000,0.0004,0.0000,0.0004,0.0465,0,
0.2291,7.5900,INIT,STANCE,,-25.400,-0.300,-25.400,0.0000,0.0000,0.0004,0.0000,0.0004,0.0465,0,
0.2373,7.6000,INIT,STANCE,,-25.400,-0.700,-25.400,0.0000,0.0000,0.0010,0.0000,0.0010,0.0472,0,
0.2491,7.6100,INIT,STANCE,,-25.400,0.000,-25.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.2570,7.6200,INIT,STANCE,,-25.400,-0.400,-25.400,0.0000,0.0000,0.0006,0.0000,0.0006,0.0467,0,
0.2692,7.6300,INIT,STANCE,,-25.400,-0.300,-25.400,0.0000,0.0000,0.0004,0.0000,0.0004,0.0465,0,
0.2771,7.6400,INIT,STANCE,,-25.500,-2.200,-25.500,0.0000,0.0000,0.0033,0.0000,0.0033,0.0498,0,
0.2891,7.6500,INIT,STANCE,,-25.500,-2.100,-25.500,0.0000,0.0000,0.0032,0.0000,0.0032,0.0496,0,
0.2971,7.6600,INIT,STANCE,,-25.500,-1.900,-25.500,0.0000,0.0000,0.0029,0.0000,0.0029,0.0493,0,
0.3091,7.6700,INIT,STANCE,,-25.500,-5.000,-25.500,0.0000,0.0000,0.0075,0.0000,0.0075,0.0546,0,
0.3171,7.6800,INIT,STANCE,,-25.600,-9.400,-25.600,0.0000,0.0000,0.0141,0.0000,0.0141,0.0622,0,
