stride_id,timestamp,gait_cluster,cluster_confidence,ood,d_patient,d_healthy,d_target,healthy_region_threshold,manifold_deviation,delta_healthy,estimated_swing_time,estimated_stance_time,estimated_stride_time,estimated_swing_ratio,estimated_stance_ratio,estimated_swing_stance_ratio,phase_source,swing_symmetry_ratio,stance_symmetry_ratio,swing_stance_symmetry_ratio,belt_excursion,peak_belt_velocity,trunk_acc_rms,trunk_gyro_rms,swing_ratio_error,belt_excursion_error,temporal_symmetry_error,trunk_error,biomechanical_deviation,reference_source,decision_state,raw_assist_gain,assist_gain,target_belt_length,motor_position,motor_velocity,motor_current
15,25.612452689000065,S0,1.0,0,0.8071619266019652,,0.8071619266019652,,1.0,,0.6398096360001055,0.9600781499998483,1.5998877859999538,0.39990906962278916,0.6000909303772108,0.6664141205590468,scheduled,,,,92.5,476.9,0.11929943948590228,1.238249457206031,0.0,0.14848568535395387,,0.0,0.14848568535395387,patient_baseline,COMBINED_DEVIATION,0.1187885482831631,0.0,-119.7519584677277,-0.67,2.43,1.66
16,27.212529513999925,S0,1.0,0,0.5750648134377175,,0.5750648134377175,,0.7615890853538733,,0.6399680769998213,0.9601087480000388,1.60007682499986,0.3999608437550349,0.6000391562449652,0.6665579064172795,scheduled,,,,110.19999999999999,553.0,0.134391757795524,1.6328802992951092,0.0,0.0,,0.0,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,-119.7519584677277,-0.65,4.32,1.89
17,28.81240185799993,S0,1.0,0,0.7475207824904928,,0.7475207824904928,,0.9899817476514837,,0.6402176249998774,0.9596547190001274,1.5998723440000049,0.40016794302425635,0.5998320569757436,0.6671333056819913,scheduled,,,,108.70000000000002,556.6,0.13539590561677856,1.3168281568902962,0.0,0.0,,0.0,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,-119.7519584677277,-0.44,2.08,1.82
18,30.41237772599993,OOD,1.0,1,0.9774342698182817,,0.9774342698182817,,1.0,,0.6399284329997954,0.960047435000206,1.5999758680000014,0.3999613030412249,0.6000386969587751,0.6665591820467268,scheduled,,,,89.99999999999999,425.8,0.13722808857492574,1.51497245866594,0.0,0.17149958574979307,,0.0,0.17149958574979307,patient_baseline,OOD,0.13719966859983446,0.0,-119.7519584677277,-0.12,6.37,0.38
19,32.01237104300003,S0,1.0,0,0.7852715064916175,,0.7852715064916175,,1.0,,0.6383417479999025,0.9616515690001961,1.5999933170000986,0.3989652589279304,0.6010347410720697,0.6637973342710496,scheduled,,,,132.7,615.6,0.13584823063931548,1.3559595115276046,0.0,0.0,,0.0,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,-119.7519584677277,0.73,-2.8,-0.01
20,33.604977855000016,S0,1.0,0,0.6171009302331658,,0.6171009302331658,,0.8172597628044618,,0.6326511990000654,0.95995561299992,1.5926068119999854,0.3972425549314247,0.6027574450685753,0.6590421373994488,scheduled,,,,121.39999999999999,568.0,0.11358607582510655,0.9836699181394619,0.0010655749034055306,0.0,,0.0,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,-119.7519584677277,0.55,6.18,-0.35
21,35.21415640600003,S0,1.0,0,0.5812877419028646,,0.5812877419028646,,0.7698304423057314,,0.6393521760001022,0.9698263749999114,1.6091785510000136,0.397315870015034,0.602684129984966,0.6592439559092839,scheduled,,,,130.2,640.9,0.1255488807292669,1.1653769029610932,0.00033242406731248675,0.0,,0.0,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,-119.7519584677277,0.37,10.13,-0.09
22,36.80476295500012,S0,1.0,0,0.7758135840057999,,0.7758135840057999,,1.0,,0.6300850810000753,0.9605214680000174,1.5906065490000927,0.3961288109848205,0.6038711890151796,0.6559822991900728,scheduled,,,,126.9,628.1,0.12064002030943097,1.31014293752309,0.012203014369447374,0.0,,0.0,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,-119.7519584677277,0.68,-2.6,-0.15
23,38.405225578,S0,1.0,0,0.8258091940254132,,0.8258091940254132,,1.0,,0.6403962639999463,0.9600663589999314,1.6004626229998777,0.40013197109195797,0.599868028908042,0.667033333682294,scheduled,,,,131.2,649.6,0.14154941082973146,1.2084149653825789,0.0,0.0,,0.05480220657472887,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,-119.7519584677277,-0.98,-12.7,0.07
24,40.01492979699992,S0,1.0,0,0.6334676725856949,,0.6334676725856949,,0.8389351149512423,,0.6398615679997874,0.9698426510001354,1.6097042189999229,0.39750257248957244,0.6024974275104276,0.6597581240007747,scheduled,,,,112.5,502.7,0.11517185290726549,1.085623334622321,0.0,0.0,,0.0,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,-119.7519584677277,-1.36,-3.34,-0.03
