stride_id,timestamp,gait_cluster,cluster_confidence,ood,ood_engaged,d_patient,d_healthy,d_target,healthy_region_threshold,manifold_deviation,delta_healthy,estimated_swing_time,estimated_stance_time,estimated_stride_time,estimated_swing_ratio,estimated_stance_ratio,estimated_swing_stance_ratio,phase_source,swing_symmetry_ratio,stance_symmetry_ratio,swing_stance_symmetry_ratio,belt_excursion,peak_belt_velocity,trunk_acc_rms,trunk_gyro_rms,swing_ratio_error,belt_excursion_error,temporal_symmetry_error,trunk_error,biomechanical_deviation,reference_source,decision_state,raw_assist_gain,assist_gain,target_belt_length,motor_position,motor_velocity,motor_current
16,25.160259341000028,S0,1.0,0,0,0.6722122025802554,0.6417563916262805,0.6417563916262805,0.8562813681631302,0.0,0.0018285747780705242,0.5357436029999008,0.8039629100001129,1.3397065130000136,0.3998962442902562,0.6001037557097438,0.6663785061923136,belt_cycle,,,,146.3,686.6,0.183919147958381,1.2911427990434987,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,-128.09166213529025,-0.73,3.18,1.54
17,26.491197502999967,S0,1.0,0,0,0.7763580972875667,0.6390396875274872,0.6390396875274872,0.8562813681631302,0.0,0.004545278876863845,0.528789536999966,0.8021486249999725,1.3309381619999385,0.3973058644628378,0.6026941355371622,0.6592164101758375,belt_cycle,,,,125.5,619.8,0.16629694342439139,1.6822347264286892,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,-128.09166213529025,-0.71,6.37,1.5
18,27.91153705800002,S0,1.0,0,0,0.5824365647692461,0.3984695103870677,0.3984695103870677,0.8562813681631302,0.0,0.24511545601728335,0.5409051120000186,0.8794344430000365,1.420339555000055,0.38082802812599104,0.619171971874009,0.6150601859017661,belt_cycle,,,,136.2,655.9,0.18351714320086177,1.424095555947871,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,-128.09166213529025,-0.69,3.0,1.73
19,29.26029854100011,S0,1.0,0,0,0.6556732646063123,0.5158434022674953,0.5158434022674953,0.8562813681631302,0.0,0.12774156413685578,0.5684064580000268,0.7803550250000626,1.3487614830000894,0.42142844762715476,0.5785715523728452,0.7283946918903753,belt_cycle,,,,140.60000000000002,684.4,0.18543233642621282,1.615406287341802,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,-128.09166213529025,-0.68,2.17,1.64
20,30.600177078000115,S0,1.0,0,0,0.44506684230539956,0.2926471942061805,0.2926471942061805,0.8562813681631302,0.0,0.3509377721981705,0.5401885359999596,0.7996900010000445,1.3398785370000041,0.4031623173914293,0.5968376826085707,0.675497424407498,belt_cycle,,,,129.3,634.1,0.1665531886521434,1.6053844427696702,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,-128.09166213529025,-0.59,10.43,0.0
21,31.931621291000056,S0,1.0,0,0,0.5942724822456297,0.5026139316674954,0.5026139316674954,0.8562813681631302,0.0,0.14097103473685568,0.5287434589999975,0.8027007539999431,1.3314442129999406,0.3971202502045958,0.6028797497954043,0.6587055716158391,belt_cycle,,,,147.9,716.5,0.17797375771950968,1.589689339153239,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,-128.09166213529025,-0.53,7.93,1.36
22,33.260315452999976,S0,1.0,0,0,0.8182217788718278,0.7033770573652471,0.7033770573652471,0.8562813681631302,0.0,-0.059792090960896105,0.5397731460000159,0.7889210159999038,1.3286941619999197,0.40624333382150324,0.5937566661784968,0.6841916174788297,belt_cycle,,,,121.80000000000001,652.8,0.209829553842463,1.4488762517196414,0.0,0.0,,0.008859868205997158,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,-128.09166213529025,-0.63,3.7,1.68
23,34.5718070800001,S0,1.0,0,0,0.5818709942694605,0.5123300564874245,0.5123300564874245,0.8562813681631302,0.0,0.13125490991692657,0.5355559829999947,0.7759356440001284,1.3114916270001231,0.4083563874708172,0.5916436125291828,0.6902067035341737,belt_cycle,,,,131.89999999999998,659.3,0.17058339706301615,1.7148045039362365,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,-128.09166213529025,-0.51,10.16,1.8
24,35.90044188599995,S0,1.0,0,0,0.7829722495639968,0.7282575292289352,0.7282575292289352,0.8562813681631302,0.0,-0.08467256282458413,0.5287306479999643,0.7999041579998902,1.3286348059998545,0.3979503213466336,0.6020496786533664,0.660992498553854,belt_cycle,,,,107.0,553.0,0.1825648611583276,1.582953912477085,0.0,0.06631762652705056,,0.0,0.04642233856893539,healthy_reference:0p8,BIOMECH_DEFICIT_ONLY,0.01856893542757416,0.0,-128.09166213529025,-0.7,2.77,1.78
25,37.27175752400012,S0,1.0,0,0,0.8495590717437967,0.6806065092927026,0.6806065092927026,0.8562813681631302,0.0,-0.03702154288835158,0.5313047649999589,0.8400108730002103,1.3713156380001692,0.3874416292479364,0.6125583707520635,0.6324974855412686,belt_cycle,,,,125.39999999999999,639.4,0.21487460728154228,1.448385857263905,0.0,0.0,,0.19198112164798925,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,-128.09166213529025,-0.54,17.76,0.21
