stride_id,timestamp,gait_cluster,cluster_confidence,ood,ood_engaged,d_patient,d_healthy,d_target,healthy_region_threshold,manifold_deviation,delta_healthy,estimated_swing_time,estimated_stance_time,estimated_stride_time,estimated_swing_ratio,estimated_stance_ratio,estimated_swing_stance_ratio,phase_source,swing_symmetry_ratio,stance_symmetry_ratio,swing_stance_symmetry_ratio,belt_excursion,peak_belt_velocity,trunk_acc_rms,trunk_gyro_rms,swing_ratio_error,belt_excursion_error,temporal_symmetry_error,trunk_error,biomechanical_deviation,reference_source,decision_state,raw_assist_gain,assist_gain,target_belt_length,motor_position,motor_velocity,motor_current
16,450.26,S0,1.0,0,0,0.6748033583487123,1.9788107880526102,1.9788107880526102,1.408510704557446,0.6870925738328959,-0.1709421777740212,0.6700000000000159,1.0199999999999818,1.6899999999999977,0.3964497041420218,0.6035502958579783,0.6568627450980665,belt_cycle,,,,136.0,624.9,0.13086790650741648,0.9507955487851554,0.0,0.0,,0.0,0.0,healthy_reference,MANIFOLD_DEVIATION_ONLY,0.0,0.0,-54.22906925968258,-2.63,7.94,0.13
17,451.74,S0,1.0,0,0,0.3445003894575929,1.730369662489421,1.730369662489421,1.408510704557446,0.3877728694362528,0.0774989477891681,0.6700000000000159,0.8100000000000023,1.4800000000000182,0.4527027027027079,0.5472972972972922,0.8271604938271778,belt_cycle,,,,119.3,558.2,0.11201484942926357,1.0062952959153246,0.0,0.0,,0.0,0.0,healthy_reference,MANIFOLD_DEVIATION_ONLY,0.0,0.0,-54.22906925968258,-2.66,8.61,0.25
18,453.3,S0,1.0,0,0,0.7951447054223748,1.9695125546616694,1.9695125546616694,1.408510704557446,0.675890143222109,-0.16164394438308038,0.589999999999975,0.9700000000000273,1.5600000000000023,0.3782051282051116,0.6217948717948883,0.6082474226803695,belt_cycle,,,,106.0,496.3,0.09718020468238396,0.8101960158967259,0.0,0.10108548168249651,,0.0,0.07075983717774754,healthy_reference,COMBINED_DEVIATION,0.04743428546487538,0.0,-54.22906925968258,-2.73,6.94,0.07
19,454.84,S0,1.0,0,0,0.6602147069050832,2.0454447659272557,2.0454447659272557,1.408510704557446,0.7673726100587762,-0.23757615564866663,0.6200000000000045,0.9199999999999591,1.5399999999999636,0.40259740259741505,0.597402597402585,0.6739130434782958,belt_cycle,,,,118.99999999999999,533.1,0.12760068482139167,1.1183455112989416,0.0,0.0,,0.0,0.0,healthy_reference,MANIFOLD_DEVIATION_ONLY,0.0,0.0,-54.22906925968258,-2.69,4.24,0.32
20,456.52,S0,1.0,0,0,0.5228188645869805,2.0482234600914615,2.0482234600914615,1.408510704557446,0.770720356588073,-0.24035484981287247,0.6100000000000136,1.0699999999999932,1.6800000000000068,0.36309523809524474,0.6369047619047553,0.5700934579439416,belt_cycle,,,,133.6,621.7,0.10344844334463993,0.7944402811902017,0.10830436263241816,0.0,,0.0,0.03249130878972545,healthy_reference,COMBINED_DEVIATION,0.023013208754462337,0.0,-54.22906925968258,-2.64,3.41,-0.04
21,458.16,OOD,1.0,1,0,1.3833135381419173,2.3440112979789474,2.3440112979789474,1.408510704557446,1.0,-0.5361426877003583,0.6700000000000159,0.9700000000000273,1.6400000000000432,0.4085365853658526,0.5914634146341474,0.6907216494845331,belt_cycle,,,,119.10000000000001,515.6,0.12459959929406927,1.8031494616607382,0.0,0.0,,0.0,0.0,healthy_reference,MANIFOLD_DEVIATION_ONLY,0.0,0.0,-54.22906925968258,-2.67,5.53,-0.17
22,459.76,S0,1.0,0,0,0.9884914308409104,2.0409479767026375,2.0409479767026375,1.408510704557446,0.7619549175636406,-0.23307936642404847,0.6599999999999682,0.9399999999999977,1.599999999999966,0.4124999999999889,0.5875000000000111,0.7021276595744359,belt_cycle,,,,130.1,605.2,0.12215475855987226,1.0576945774678168,0.0,0.0,,0.0,0.0,healthy_reference,MANIFOLD_DEVIATION_ONLY,0.0,0.0,-54.22906925968258,-2.61,7.29,0.19
23,461.54,S0,1.0,0,0,0.49742539363061206,1.8646006042467056,1.8646006042467056,1.408510704557446,0.5494931390437678,-0.05673199396811657,0.6399999999999864,1.1400000000000432,1.7800000000000296,0.3595505617977392,0.6404494382022609,0.5614035087718966,belt_cycle,,,,132.39999999999998,580.8,0.11263510600092991,0.9973822634300228,0.1437511256074736,0.0,,0.0,0.04312533768224208,healthy_reference,COMBINED_DEVIATION,0.02672896594303191,0.0,-54.22906925968258,-2.66,7.99,0.18
24,463.06,S0,1.0,0,0,0.5278191798435825,1.752956201898986,1.752956201898986,1.408510704557446,0.4149849354099863,0.054912408379603095,0.7099999999999795,0.8100000000000023,1.5199999999999818,0.46710526315788686,0.5328947368421131,0.8765432098765155,belt_cycle,,,,110.69999999999999,517.5,0.10189541993616989,0.8872278427281431,0.0,0.061227951153324287,,0.0,0.042859565807327,healthy_reference,COMBINED_DEVIATION,0.024258255982232264,0.024258255982232264,-56.65489485790581,-2.77,6.98,-0.02
25,464.71,S0,1.0,0,0,0.5366175813491532,1.8102928192156875,1.8102928192156875,1.408510704557446,0.4840635926066731,-0.002424208937098493,0.6099999999999568,1.0400000000000205,1.6499999999999773,0.3696969696969486,0.6303030303030513,0.5865384615384085,belt_cycle,,,,113.6,525.7,0.09438177633385264,0.8355425901681933,0.04228704661537963,0.03663500678426046,,0.0,0.03833061873359621,healthy_reference,COMBINED_DEVIATION,0.022754030297846974,0.024258255982232264,-56.65489485790581,-2.77,6.11,0.06
26,466.25,S0,1.0,0,0,0.7250706425303773,1.5641560158358576,1.5641560158358576,1.408510704557446,0.18752011550812417,0.2437125944427314,0.660000000000025,0.8799999999999955,1.5400000000000205,0.4285714285714391,0.5714285714285608,0.7500000000000323,belt_cycle,,,,110.0,493.3,0.10690496848226078,0.9284482503432683,0.0,0.06716417910447751,,0.0,0.04701492537313426,healthy_reference,COMBINED_DEVIATION,0.022332467843884093,0.024258255982232264,-56.65489485790581,-2.82,5.56,0.07
27,467.83,S0,1.0,0,0,0.5424602116526028,1.8811134515017303,1.8811134515017303,1.408510704557446,0.5693876736056948,-0.07324484122314123,0.6100000000000136,0.9699999999999704,1.579999999999984,0.38607594936710116,0.6139240506328989,0.6288659793814765,belt_cycle,,,,121.80000000000001,565.4,0.12426464873954475,1.1815413633178942,0.0,0.0,,0.0,0.0,healthy_reference,MANIFOLD_DEVIATION_ONLY,0.0,0.024258255982232264,-56.65489485790581,-2.75,6.11,0.01
28,469.5,S0,1.0,0,0,0.645912005773772,2.099789443395509,2.099789443395509,1.408510704557446,0.8328466041829546,-0.2919208331169201,0.6299999999999955,1.0400000000000205,1.670000000000016,0.37724550898202963,0.6227544910179704,0.6057692307692145,belt_cycle,,,,117.9,532.7,0.12598459327101794,1.2817069265676695,0.0,0.00016960651288994074,,0.0,0.00011872455902295851,healthy_reference,COMBINED_DEVIATION,8.704156193533932e-05,0.024258255982232264,-56.65489485790581,-2.79,5.72,0.0
29,471.16,S0,1.0,0,0,0.5440386837968545,1.7861251580639157,1.7861251580639157,1.408510704557446,0.45494660492796973,0.02174345221467333,0.660000000000025,1.0,1.660000000000025,0.3975903614457922,0.6024096385542078,0.660000000000025,belt_cycle,,,,112.2,508.1,0.10073454054394416,0.987101652529565,0.0,0.04850746268656704,,0.0,0.03395522388059693,healthy_reference,COMBINED_DEVIATION,0.01976121508185745,0.024258255982232264,-56.65489485790581,-2.82,6.66,0.09
