stride_id,timestamp,is_baseline,gait_state,gait_state_id,confidence,nearest_distance,d_patient,d_healthy,d_target,healthy_region_threshold,inside_healthy_region,manifold_deviation,delta_healthy,stride_time,swing_time,stance_time,swing_ratio,stance_ratio,swing_stance_ratio,phase_source,swing_symmetry_ratio,stance_symmetry_ratio,swing_stance_symmetry_ratio,belt_excursion,peak_belt_velocity,trunk_rms,trunk_acc_rms,trunk_gyro_rms,swing_ratio_error,belt_excursion_error,temporal_symmetry_error,trunk_error,biomechanical_deviation,reference_source,decision_state,assist_score,raw_assist_gain,e_manifold,e_baseline,e_healthy,assist_mode,e_swing,e_excursion,deviation_score,assist_gain,gain_delta,target_belt_length,ood_flag,ood_engaged,valid
16,28.592489024000088,0,S0,0,1.0,0.6575802242936519,0.6575802242936519,0.6053335919995486,0.6053335919995486,0.8213994393425422,1,0.0,-0.04841459814013238,1.528290147000007,0.6281764360001034,0.9001137109999036,0.4110321834065325,0.5889678165934675,0.6978856430286847,belt_cycle,,,,108.70000000000002,556.6,0.12332781828332098,0.12332781828332098,1.2708690172326054,0.0,0.0,,0.0,0.0,healthy_reference:0p6,IN_RANGE,0.0,0.0,0.7369539873122689,0.8124830719547477,0.7369539873122689,healthy_directed,0.09494374934941874,0.14609068537874897,0.42617825553670985,0.0,0.0,-119.56825161053969,0,0,1
17,30.16402591500014,0,OOD,-2,1.0,1.033785018534735,1.033785018534735,1.0240738385664439,1.0240738385664439,0.8213994393425422,0,0.7570184062704656,-0.4671548447070276,1.5715368910000507,0.6199044670001967,0.9516324239998539,0.3944574706138265,0.6055425293861735,0.6514116704794959,belt_cycle,,,,81.2,425.8,0.14457008643886343,0.14457008643886343,1.5700142635758771,0.0,0.16692315584282352,,0.0,0.11684620908997646,healthy_reference:0p6,COMBINED_DEVIATION,0.10265047003700803,0.08212037602960642,1.0,1.0,1.0,healthy_directed,0.04317885725646463,0.6151109811660942,0.6359758534101583,0.0,0.0,-119.56825161053969,1,0,1
18,31.69257368500007,0,S0,0,1.0,0.7596765122915473,0.7596765122915473,0.7995099457462327,0.7995099457462327,0.8213994393425422,1,0.0,-0.24259095188681645,1.528547769999932,0.6281870550001258,0.9003607149998061,0.4109698547400673,0.5890301452599327,0.6977059799863227,belt_cycle,,,,125.0,615.6,0.14932360376401302,0.14932360376401302,1.4186419991427706,0.0,0.0,,0.23390247723729649,0.0,healthy_reference:0p6,IN_RANGE,0.0,0.0,0.9733509757276799,0.9386296661544289,0.9733509757276799,healthy_directed,0.09442434379554193,0.0,0.5150027910025026,0.0,0.0,-119.56825161053969,0,0,1
19,33.28434125900003,0,S0,0,1.0,0.6088980231309815,0.6088980231309814,0.5866954591702798,0.5866954591702798,0.8213994393425422,1,0.0,-0.02977646531086353,1.5917675739999595,0.6201884120000614,0.9715791619998981,0.38962246883920826,0.6103775311607917,0.638330293872777,belt_cycle,,,,123.39999999999999,568.0,0.10710325630403127,0.10710325630403127,0.9808674193494552,0.0,0.0,,0.0,0.0,healthy_reference:0p6,IN_RANGE,0.0,0.0,0.7142632817474014,0.7523330508791407,0.7142632817474014,healthy_directed,0.08347053871161683,0.0,0.38217280248718577,0.0,0.0,-119.56825161053969,0,0,1
20,34.94468288500002,0,S0,0,1.0,0.5463097147094486,0.5463097147094484,0.573263670491877,0.573263670491877,0.8213994393425422,1,0.0,-0.016344676632460753,1.6603416259999904,0.6398736870000903,1.0204679389999,0.3853867643742939,0.6146132356257061,0.6270394811493955,belt_cycle,,,,130.2,640.9,0.12225302159472347,0.12225302159472347,1.0330208060619586,0.0,0.0,,0.0,0.0,healthy_reference:0p6,IN_RANGE,0.0,0.0,0.6979109590709289,0.6750011311891873,0.6979109590709289,healthy_directed,0.1187680759192363,0.0,0.38458590231123535,0.0,0.0,-119.56825161053969,0,0,1
21,36.434605121,0,S0,0,1.0,0.8210435564975584,0.8210435564975584,0.8086780975611069,0.8086780975611069,0.8213994393425422,1,0.0,-0.25175910370169063,1.4899222359999769,0.6702597579999292,0.8196624780000477,0.44986224234050537,0.5501377576594947,0.8177265349944325,belt_cycle,,,,126.9,628.1,0.12866453787440837,0.12866453787440837,1.3210235948520248,0.0,0.0,,0.0,0.0,healthy_reference:0p6,IN_RANGE,0.0,0.0,0.984512599872703,1.0,0.984512599872703,healthy_directed,0.4185275737991925,0.0,0.6178145720761092,0.0,0.0,-119.56825161053969,0,0,1
22,37.974735247000126,0,S0,0,1.0,0.7807573782156516,0.7807573782156515,0.7341633776596171,0.7341633776596171,0.8213994393425422,1,0.0,-0.1772443838002009,1.540130126000129,0.5915725150000526,0.9485576110000764,0.3841055408327251,0.6158944591672749,0.6236548082475983,belt_cycle,,,,132.89999999999998,649.6,0.13922195850476976,0.13922195850476976,1.0979287151197037,0.0,0.0,,0.0,0.0,healthy_reference:0p6,IN_RANGE,0.0,0.0,0.8937958105343365,0.9646764450457505,0.8937958105343365,healthy_directed,0.12944493876564334,0.0,0.4857313868968613,0.0,0.0,-119.56825161053969,0,0,1
23,39.57640748099993,0,S0,0,1.0,0.6599348536989739,0.6599348536989739,0.5436251139611608,0.5436251139611608,0.8213994393425422,1,0.0,0.013293879898255478,1.6016722339998068,0.6096568850000494,0.9920153489997574,0.38063773102788456,0.6193622689721154,0.6145639637680632,belt_cycle,,,,109.29999999999998,502.7,0.12768809732011085,0.12768809732011085,1.2204584364901714,0.0,0.0,,0.0,0.0,healthy_reference:0p6,IN_RANGE,0.0,0.0,0.6618279583880465,0.8153923695003148,0.6618279583880465,healthy_directed,0.15834335380598097,0.13585751528884385,0.40558848839358635,0.0,0.0,-119.56825161053969,0,0,1
24,41.10413027100003,0,S0,0,1.0,0.7676215470059625,0.7676215470059625,0.7246991367336603,0.7246991367336603,0.8213994393425422,1,0.0,-0.16778014287424403,1.527722790000098,0.6397983049998857,0.8879244850002124,0.4187921455304366,0.5812078544695635,0.7205548622749519,belt_cycle,,,,116.80000000000001,474.0,0.1308517556351782,0.1308517556351782,1.3402436773401534,0.0,0.0,,0.0,0.0,healthy_reference:0p6,IN_RANGE,0.0,0.0,0.8822737172960795,0.9484462725137354,0.8822737172960795,healthy_directed,0.1596101003819526,0.007942889165022027,0.49060846659562996,0.0,0.0,-119.56825161053969,0,0,1
25,42.66456808199996,0,S0,0,1.0,0.48454300666760003,0.48454300666760003,0.4250869757754273,0.4250869757754273,0.8213994393425422,1,0.0,0.13183201808398892,1.5604378109999288,0.6091838540000936,0.9512539569998353,0.39039290749416566,0.6096070925058343,0.6404008619542584,belt_cycle,,,,113.5,472.9,0.11917132643195992,0.11917132643195992,1.1970512015454158,0.0,0.0,,0.0,0.0,healthy_reference:0p6,IN_RANGE,0.0,0.0,0.5175155416659061,0.5986843521250369,0.5175155416659061,healthy_directed,0.07705021658697178,0.06422532465950362,0.29471790074094534,0.0,0.0,-119.56825161053969,0,0,1
